type_species,Species,Author,Subspecies,Order,Family,change,sp#
,Acanthodactylus yemenicus,SALVADOR 1982,,Sauria,Lacertidae,,10092
,Acanthodactylus zagrosicus,"MOZAFFARI, MOHAMMADI, SABERI-PIROOZ & AHMADZADEH 2021",,Sauria,Lacertidae,,24017
x,Acanthophis antarcticus,(SHAW 1802),,Serpentes,Elapidae,,10093
,Acanthophis cryptamydros,"MADDOCK, ELLIS, DOUGHTY, SMITH & WÜSTER 2015",,Serpentes,Elapidae,,20324
,Acanthophis hawkei,WELLS & WELLINGTON 1985,,Serpentes,Elapidae,,10094
,Acanthophis laevis,MACLEAY 1877,,Serpentes,Elapidae,,10095
,Acanthophis praelongus,RAMSAY 1877,,Serpentes,Elapidae,,10096
,Acanthophis pyrrhus,BOULENGER 1898,,Serpentes,Elapidae,,10097
,Acanthophis rugosus,LOVERIDGE 1948,,Serpentes,Elapidae,,10098
,Acanthophis wellsi,HOSER 1998,,Serpentes,Elapidae,,10099
x,Acanthosaura armata,(GRAY 1827),,Sauria,Agamidae,,10100
,Acanthosaura aurantiacrista,"TRIVALAIRAT, KUNYA, CHANHOME, SUMONTHA, VASARUCHAPONG, CHOMNGAM & CHIANGKUL 2020",,Sauria,Agamidae,,22898
,Acanthosaura bintangensis,"WOOD, GRISMER, GRISMER, AHMAD, ONN & BAUER 2009",,Sauria,Agamidae,,10101
,Acanthosaura brachypoda,"ANANJEVA, ORLOV, NGUYEN & RYABOV 2011",,Sauria,Agamidae,,10102
,Acanthosaura capra,GÜNTHER 1861,,Sauria,Agamidae,,10103
,Acanthosaura cardamomensis,"WOOD, GRISMER, GRISMER, NEANG, CHAV & HOLDEN 2010",,Sauria,Agamidae,,10104
,Acanthosaura coronata,GÜNTHER 1861,,Sauria,Agamidae,,10105
,Acanthosaura crucigera,BOULENGER 1885,,Sauria,Agamidae,,10106
,Acanthosaura lepidogaster,(CUVIER 1829),,Sauria,Agamidae,,10107
,Acanthosaura liui,"LIU, HOU, MO & RAO 2020",,Sauria,Agamidae,,23338
,Acanthosaura meridiona,"TRIVALAIRAT, SUMONTHA, KUNYA & CHIANGKUL 2022",,Sauria,Agamidae,new species,24385
,Acanthosaura murphyi,"NGUYEN, DO, HOANG, NGUYEN, MCCORMACK, NGUYEN, ORLOV, NGUYEN & NGUYEN 2018",,Sauria,Agamidae,,21840
,Acanthosaura nataliae,"ORLOV, TRUONG & SANG 2006",,Sauria,Agamidae,,10108
,Acanthosaura phongdienensis,"NGUYEN, JIN, VO, NGUYEN, ZHOU, CHE, MURPHY & ZHANG 2019",,Sauria,Agamidae,,22129
,Acanthosaura phuketensis,"PAUWELS, SUMONTHA, KUNYA, NITIKUL, SAMPHANTHAMIT, WOOD & GRISMER 2015",,Sauria,Agamidae,,20288
,Acanthosaura prasina,"ANANJEVA, ERMAKOV, NGUYEN, NGUYEN, MURPHY, LUKONINA & ORLOV 2020",,Sauria,Agamidae,,23127
,Acanthosaura titiwangsaensis,"WOOD, GRISMER, GRISMER, AHMAD, ONN & BAUER 2009",,Sauria,Agamidae,,10109
,Acanthosaura tongbiguanensis,LIU & RAO 2019,,Sauria,Agamidae,,22400
,Achalinus ater,BOURRET 1937,,Serpentes,Xenodermidae,,10110
,Achalinus dehuaensis,"LI, WU, XU, ZHU, REN, GUO & DONG 2021",,Serpentes,Xenodermidae,,24177
,Achalinus emilyae,"ZIEGLER, NGUYEN, PHAM, NGUYEN, PHAM, VAN SCHINGEN, NGUYEN & LE 2019",,Serpentes,Xenodermidae,,22141
,Achalinus formosanus,BOULENGER 1908,"Achalinus formosanus chigirai OTA & TOYAMA 1989
Achalinus formosanus formosanus BOULENGER 1908",Serpentes,Xenodermidae,,10111
,Achalinus hainanus,HUANG 1975,,Serpentes,Xenodermidae,,10112
,Achalinus huangjietangi,"HUANG, PENG & HUANG 2021",,Serpentes,Xenodermidae,,23932
,Achalinus jinggangensis,(ZONG & MA 1983),,Serpentes,Xenodermidae,,10113
,Achalinus juliani,"ZIEGLER, NGUYEN, PHAM, NGUYEN, PHAM, VAN SCHINGEN, NGUYEN & LE 2019",,Serpentes,Xenodermidae,,22135
,Achalinus meiguensis,HU & ZHAO 1966,,Serpentes,Xenodermidae,,10114
,Achalinus niger,MAKI 1931,,Serpentes,Xenodermidae,,10115
,Achalinus panzhihuaensis,"HOU, WANG, GUO, CHEN, YUAN & CHE 2021",,Serpentes,Xenodermidae,,23652
,Achalinus pingbianensis,"LI, YU, WU, LIAO, TANG, LIU & GUO 2020",,Serpentes,Xenodermidae,,23323
,Achalinus rufescens,BOULENGER 1888,,Serpentes,Xenodermidae,,10116
x,Achalinus spinalis,PETERS 1869,"
",Serpentes,Xenodermidae,,10117
,Achalinus timi,"ZIEGLER, NGUYEN, PHAM, NGUYEN, PHAM, VAN SCHINGEN, NGUYEN & LE 2019",,Serpentes,Xenodermidae,,22138
,Achalinus tranganensis,"LUU, ZIEGLER, HA, LO, HOANG, NGO, LE, TRAN & NGUYEN 2020",,Serpentes,Xenodermidae,,23311
,Achalinus werneri,VAN DENBURGH 1912,,Serpentes,Xenodermidae,,10118
,Achalinus yangdatongi,"HOU, WANG, GUO, CHEN, YUAN & CHE 2021",,Serpentes,Xenodermidae,,23655
,Achalinus yunkaiensis,"WANG, LI & WANG 2019",,Serpentes,Xenodermidae,,22367
,Achalinus zugorum,"MILLER, DAVIS, LUONG, DO, PHAM, ZIEGLER, LEE, DE QUEIROZ, REYNOLDS & NGUYEN 2020",,Serpentes,Xenodermidae,,23400
,Acontias albigularis,"CONRADIE, BUSSCHAU & EDWARDS 2018",,Sauria,Scincidae,,21380
,Acontias aurantiacus,(PETERS 1854),"Acontias aurantiacus aurantiacus (PETERS 1854)
Acontias aurantiacus bazarutoensis (BROADLEY 1990)
Acontias aurantiacus carolinensis (BROADLEY 1990)",Sauria,Scincidae,,10119
,Acontias bicolor,(HEWITT 1929),,Sauria,Scincidae,,10120
,Acontias breviceps,ESSEX 1925,,Sauria,Scincidae,,10121
,Acontias cregoi,(BOULENGER 1903),,Sauria,Scincidae,,20122
,Acontias fitzsimonsi,(BROADLEY 1968),,Sauria,Scincidae,,21646
,Acontias gariepensis,(FITZSIMONS 1941),,Sauria,Scincidae,,10123
,Acontias gracilicauda,ESSEX 1925,,Sauria,Scincidae,,10124
,Acontias grayi,BOULENGER 1887,,Sauria,Scincidae,,21916
,Acontias jappi,(BROADLEY 1968),,Sauria,Scincidae,,10125
,Acontias kgalagadi,"LAMB, BISWAS & BAUER 2010",,Sauria,Scincidae,,20127
,Acontias lineatus,PETERS 1879,,Sauria,Scincidae,,10127
,Acontias litoralis,BROADLEY & GREER 1969,,Sauria,Scincidae,,10128
x,Acontias meleagris,(LINNAEUS 1758),,Sauria,Scincidae,,10129
,Acontias namaquensis,HEWITT 1938,,Sauria,Scincidae,,10130
,Acontias occidentalis,FITZSIMONS 1941,,Sauria,Scincidae,,10131
,Acontias orientalis,HEWITT 1937,,Sauria,Scincidae,,10132
,Acontias parietalis,(BROADLEY 1990),,Sauria,Scincidae,,21647
,Acontias percivali,LOVERIDGE 1935,,Sauria,Scincidae,,10133
,Acontias plumbeus,BIANCONI 1849,,Sauria,Scincidae,,10134
,Acontias richardi,(JACOBSEN 1987),,Sauria,Scincidae,,10136
,Acontias rieppeli,"(LAMB, BISWAS & BAUER 2010)",,Sauria,Scincidae,,10137
,Acontias schmitzi,"WAGNER, BROADLEY & BAUER 2012",,Sauria,Scincidae,,20138
,Acontias subtaeniatus,(BROADLEY 1968),,Sauria,Scincidae,,23800
,Acontias tristis,WERNER 1910,,Sauria,Scincidae,,10139
,Acontias wakkerstroomensis,"CONRADIE, BUSSCHAU & EDWARDS 2018",,Sauria,Scincidae,,21383
x,Acrantophis dumerili,JAN 1860,,Serpentes,Boidae,,10140
,Acrantophis madagascariensis,(DUMÉRIL & BIBRON 1844),,Serpentes,Boidae,,10141
x,Acratosaura mentalis,(AMARAL 1933),,Sauria,Gymnophthalmidae,,10142
,Acratosaura spinosa,"RODRIGUES, CASSIMIRO, DE FREITAS & SANTOS SILVA 2009",,Sauria,Gymnophthalmidae,,10143
x,Acritoscincus duperreyi,(GRAY 1838),,Sauria,Scincidae,,11495
,Acritoscincus platynotus,(PETERS 1881),,Sauria,Scincidae,,11496
,Acritoscincus trilineatus,(GRAY 1838),,Sauria,Scincidae,,11497
,Acrochordus arafurae,MCDOWELL 1979,,Serpentes,Acrochordidae,,10144
,Acrochordus granulatus,(SCHNEIDER 1799),,Serpentes,Acrochordidae,,10145
x,Acrochordus javanicus,HORNSTEDT 1787,,Serpentes,Acrochordidae,,10146
x,Actinemys marmorata,(BAIRD & GIRARD 1852),,Testudines,Emydidae,,10147
,Actinemys pallida,(SEELIGER 1945),,Testudines,Emydidae,,21085
,Acutotyphlops banaorum,"WALLACH, BROWN, DIESMOS & GEE 2007",,Serpentes,Typhlopidae,,10148
,Acutotyphlops infralabialis,(WAITE 1918),,Serpentes,Typhlopidae,,10149
x,Acutotyphlops kunuaensis,WALLACH 1995,,Serpentes,Typhlopidae,,10150
,Acutotyphlops solomonis,(PARKER 1939),,Serpentes,Typhlopidae,,10151
,Acutotyphlops subocularis,(WAITE 1897),,Serpentes,Typhlopidae,,10152
x,Adelophis copei,DUGÈS 1879,,Serpentes,Colubridae,,10153
,Adelophis foxi,ROSSMAN & BLANEY 1968,,Serpentes,Colubridae,,10154
,Adelphicos daryi,CAMPBELL & FORD 1982,,Serpentes,Colubridae,,10155
,Adelphicos ibarrorum,CAMPBELL & BRODIE 1988,,Serpentes,Colubridae,,10156
,Adelphicos latifasciatum,LYNCH & SMITH 1966,,Serpentes,Colubridae,,10157
,Adelphicos newmanorum,TAYLOR 1950,,Serpentes,Colubridae,,21174
,Adelphicos nigrilatum,SMITH 1942,,Serpentes,Colubridae,,10158
x,Adelphicos quadrivirgatum,JAN 1862,,Serpentes,Colubridae,,10159
,Adelphicos sargii,(FISCHER 1885),,Serpentes,Colubridae,,20635
,Adelphicos veraepacis,STUART 1941,,Serpentes,Colubridae,,10160
,Adelphicos visoninum,(COPE 1866),,Serpentes,Colubridae,,20636
x,Adercosaurus vixadnexus,MYERS & DONNELLY 2001,,Sauria,Gymnophthalmidae,,10161
x,Adolfus africanus,(BOULENGER 1906),,Sauria,Lacertidae,,10162
,Adolfus alleni,(BARBOUR 1914),,Sauria,Lacertidae,,10163
,Adolfus jacksoni,(BOULENGER 1899),,Sauria,Lacertidae,,10164
,Adolfus kibonotensis,(LÖNNBERG 1907),,Sauria,Lacertidae,,21807
,Adolfus masavaensis,"WAGNER, GREENBAUM & BRANCH 2014",,Sauria,Lacertidae,,10165
,Adolfus mathewsensis,"GREENBAUM, DOWELL-BEER, HUGHES, WAGNER, ANDERSON, VILLANUEVA, MALONZA, KUSAMBA, ARISTOTE & BRANCH 2018",,Sauria,Lacertidae,,21806
x,Aeluroglena cucullata,BOULENGER 1898,,Serpentes,Colubridae,,10166
x,Aeluroscalabotes felinus,(GÜNTHER 1864),"Aeluroscalabotes felinus felinus (GÜNTHER 1864)
Aeluroscalabotes felinus multituberculatus KOPSTEIN 1927",Sauria,Eublepharidae,,10167
,Afroedura africana,(BOULENGER 1888),,Sauria,Gekkonidae,,10175
,Afroedura amatolica,(HEWITT 1925),,Sauria,Gekkonidae,,10176
x,Afroedura bogerti,LOVERIDGE 1944,,Sauria,Gekkonidae,,10177
,Afroedura broadleyi,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Sauria,Gekkonidae,,10178
,Afroedura donveae,"BRANCH, SCHMITZ, LOBÓN-ROVIRA, BAPTISTA, ANTÓNIO & CONRADIE 2021",,Sauria,Gekkonidae,,23497
,Afroedura gorongosa,"BRANCH, GUYTON, SCHMITZ, BAREJ, NASKRECKI, FAROOQ, VERBURGT, RÖDEL 2017",,Sauria,Gekkonidae,,21191
,Afroedura granitica,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Sauria,Gekkonidae,,10179
,Afroedura haackei,ONDERSTALL 1984,,Sauria,Gekkonidae,,10180
,Afroedura halli,(HEWITT 1935),,Sauria,Gekkonidae,,10181
,Afroedura hawequensis,MOUTON & MOSTET 1985,,Sauria,Gekkonidae,,10182
,Afroedura karroica,(HEWITT 1925),,Sauria,Gekkonidae,,10183
,Afroedura langi,(FITZSIMONS 1930),,Sauria,Gekkonidae,,10184
,Afroedura leoloensis,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Sauria,Gekkonidae,,10185
,Afroedura loveridgei,BROADLEY 1963,,Sauria,Gekkonidae,,10186
,Afroedura major,ONDERSTALL 1984,,Sauria,Gekkonidae,,10187
,Afroedura maripi,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Sauria,Gekkonidae,,10188
,Afroedura marleyi,(FITZSIMONS 1930),,Sauria,Gekkonidae,,10189
,Afroedura multiporis,(HEWITT 1925),,Sauria,Gekkonidae,,10190
,Afroedura namaquensis,(FITZSIMONS 1938),,Sauria,Gekkonidae,,10191
,Afroedura nivaria,(BOULENGER 1894),,Sauria,Gekkonidae,,10192
,Afroedura pienaari,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Sauria,Gekkonidae,,10193
,Afroedura pondolia,(HEWITT 1925),,Sauria,Gekkonidae,,10194
,Afroedura pongola,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Sauria,Gekkonidae,,10195
,Afroedura praedicta,"BRANCH, SCHMITZ, LOBÓN-ROVIRA, BAPTISTA, ANTÓNIO & CONRADIE 2021",,Sauria,Gekkonidae,,23503
,Afroedura rondavelica,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Sauria,Gekkonidae,,10196
,Afroedura rupestris,"JACOBSEN, KUHN, JACKMAN & BAUER 2014",,Sauria,Gekkonidae,,10197
,Afroedura tembulica,(HEWITT 1926),,Sauria,Gekkonidae,,10198
,Afroedura tirasensis,HAACKE 1965,,Sauria,Gekkonidae,,10199
,Afroedura transvaalica,(HEWITT 1925),,Sauria,Gekkonidae,,10200
,Afroedura vazpintorum,"BRANCH, SCHMITZ, LOBÓN-ROVIRA, BAPTISTA, ANTÓNIO & CONRADIE 2021",,Sauria,Gekkonidae,,23506
