type_species,Species,Author,Subspecies,Order,Family,change,sp#
,Liodytes rigida,(SAY 1825),"Liodytes rigida deltae (HUHEEY 1959)
Liodytes rigida rigida (SAY 1825)
Liodytes rigida sinicola (HUHEEY 1959)",Serpentes,Colubridae,,15550
x,Lioheterophis iheringi,AMARAL 1935,,Serpentes,Colubridae,,15551
,Liolaemus abaucan,ETHERIDGE 1993,,Sauria,Liolaemidae,,15552
,Liolaemus abdalai,QUINTEROS 2012,,Sauria,Liolaemidae,,15553
,Liolaemus absconditus,"VEGA, QUINTEROS, STELLATELLI, BELLAGAMBA, BLOCK & MADRID 2018",,Sauria,Liolaemidae,,21266
,Liolaemus acostai,ABDALA & JUÁREZ-HEREDIA 2013,,Sauria,Liolaemidae,,15554
,Liolaemus albiceps,LOBO & LAURENT 1995,,Sauria,Liolaemidae,,15555
,Liolaemus alticolor,BARBOUR 1909,,Sauria,Liolaemidae,,15556
,Liolaemus andinus,KOSLOWSKY 1895,,Sauria,Liolaemidae,,15557
,Liolaemus annectens,BOULENGER 1901,,Sauria,Liolaemidae,,10122
,Liolaemus anomalus,KOSLOWSKY 1896,,Sauria,Liolaemidae,,15558
,Liolaemus anqapuka,"HUAMANI-VALDERRAMA, QUIRÓZ, GUTIÉRREZ, AGUILAR-KIRIGIN, CHAPARRO & ABDALA 2020",,Sauria,Liolaemidae,,23210
,Liolaemus antonietae,"TRONCOSO-PALACIOS, ESQUERRÉ, URRA, DÍAZ, CASTRO-PASTENE & RUIZ 2018",,Sauria,Liolaemidae,,21656
,Liolaemus antumalguen,"AVILA, MORANDO, PEREZ & SITES 2010",,Sauria,Liolaemidae,,15559
,Liolaemus aparicioi,"OCAMPO, AGUILAR-KIRIGIN & QUINTEROS 2012",,Sauria,Liolaemidae,,15560
,Liolaemus arambarensis,"VERRASTRO, VERONESE, BUJES & MARTINS DIAS FILHO 2003",,Sauria,Liolaemidae,,15561
,Liolaemus araucaniensis,MÜLLER & HELLMICH 1932,,Sauria,Liolaemidae,,15562
,Liolaemus archeforus,DONOSO-BARROS & CEI 1971,,Sauria,Liolaemidae,,15563
,Liolaemus atacamensis,MÜLLER & HELLMICH 1933,,Sauria,Liolaemidae,,15564
,Liolaemus audituvelatus,(NÚÑEZ & YÁÑEZ 1983),,Sauria,Liolaemidae,,15565
,Liolaemus aureum,"DIAZ-VEGA, MALDONADO & DEMANGEL 2018",,Sauria,Liolaemidae,,22352
,Liolaemus austromendocinus,CEI 1974,,Sauria,Liolaemidae,,15566
,Liolaemus avilai,"BREITMAN, PARRA, PÉREZ & SITES 2011",,Sauria,Liolaemidae,,15567
,Liolaemus azarai,AVILA 2003,,Sauria,Liolaemidae,,15568
,Liolaemus baguali,CEI & SCOLARO 1983,,Sauria,Liolaemidae,,15569
,Liolaemus balagueri,"VILLEGAS-PAREDES, HUAMANÍ-VALDERRAMA, LUQUE-FERNÁNDEZ, GUTIÉRREZ, QUIRÓZ & ABDALA 2020",,Sauria,Liolaemidae,,22776
,Liolaemus balerion,"QUINTEROS, RUIZ-MONACHESI & ABDALA 2019",,Sauria,Liolaemidae,,22466
,Liolaemus basadrei,"VALLADARES-FAÚNDEZ, LEÓN,  CHIPANA, NAVARRO GUZMÁN, IGNACIO-APAZA, MUSAJA, LANGSTROTH, AGUILAR-KIRIGIN, GUTIERREZ & ABDALA 2021",,Sauria,Liolaemidae,,24124
,Liolaemus bellii,GRAY 1845,,Sauria,Liolaemidae,,15570
,Liolaemus bibronii,(BELL 1843),,Sauria,Liolaemidae,,15571
,Liolaemus bitaeniatus,LAURENT 1984,,Sauria,Liolaemidae,,15572
,Liolaemus boulengeri,KOSLOWSKY 1898,,Sauria,Liolaemidae,,15573
,Liolaemus brizuelai,"FERNÁNDEZ, ABDALA, RUIZ-MONACHESI, SEMHAN & QUINTEROS 2021",,Sauria,Liolaemidae,,23631
,Liolaemus buergeri,WERNER 1907,,Sauria,Liolaemidae,,15574
,Liolaemus burmeisteri,"AVILA, PEREZ, MEDINA, SITES & MORANDO 2012",,Sauria,Liolaemidae,,15575
,Liolaemus calchaqui,LOBO & KRETZSCHMAR 1996,,Sauria,Liolaemidae,,15576
,Liolaemus calliston,"AVILA, FULVIO-PEREZ, MINOLI, MEDINA, SITES & MORANDO 2017",,Sauria,Liolaemidae,,20990
,Liolaemus canqueli,CEI 1975,,Sauria,Liolaemidae,,15578
,Liolaemus caparensis,"BREITMAN, PÉREZ, PARRA, MORANDO, SITES & AVILA 2011",,Sauria,Liolaemidae,,15579
,Liolaemus capillitas,HULSE 1979,,Sauria,Liolaemidae,,15580
,Liolaemus carlosgarini,"ESQUERRÉ, NÚÑEZ & SCOLARO 2013",,Sauria,Liolaemidae,,15581
,Liolaemus casamiquelai,"AVILA, PEREZ, MORANDO & SITES 2010",,Sauria,Liolaemidae,,15582
,Liolaemus cazianiae,"LOBO, SLODKI & VALDECANTOS 2010",,Sauria,Liolaemidae,,15583
,Liolaemus chacabucoense,NUÑEZ & SCOLARO 2009,,Sauria,Liolaemidae,,15585
,Liolaemus chacoensis,SHREVE 1948,,Sauria,Liolaemidae,,15586
,Liolaemus chaltin,LOBO & ESPINOZA 2004,,Sauria,Liolaemidae,,15587
,Liolaemus chavin,"AGUILAR, WOOD, CUSI, GUZMÁN, HUARI, LUNDBERG, MORTENSEN, RAMÍREZ, ROBLES, SUÁREZ, TICONA, VARGAS, VENEGAS & SITES 2013",,Sauria,Liolaemidae,,15588
,Liolaemus chehuachekenk,"AVILA, MORANDO & SITES 2008",,Sauria,Liolaemidae,,15589
x,Liolaemus chiliensis,(LESSON 1830),,Sauria,Liolaemidae,,15590
,Liolaemus chillanensis,MÜLLER & HELLMICH 1932,,Sauria,Liolaemidae,,15591
,Liolaemus chiribaya,"AGUILAR-PUNTRIANO, RAMÍREZ, CASTILLO, MENDOZA, VARGAS & SITES JR 2019",,Sauria,Liolaemidae,,22478
,Liolaemus chlorostictus,LAURENT 1993,,Sauria,Liolaemidae,,15592
,Liolaemus chungara,"QUINTEROS, VALLADARES, SEMHAM, ACOSTA, BARRIONUEVO & ABDALA 2014",,Sauria,Liolaemidae,,15594
,Liolaemus cinereus,"MONGUILLOT, CABRERA, ACOSTA & VILLAVICENCIO 2006",,Sauria,Liolaemidae,,15595
,Liolaemus coeruleus,CEI & ORTIZ-ZAPATA 1983,,Sauria,Liolaemidae,,15596
,Liolaemus confusus,NUNEZ & PINCHEIRA-DONOSO 2006,,Sauria,Liolaemidae,,15597
,Liolaemus constanzae,DONOSO-BARROS 1961,,Sauria,Liolaemidae,,15598
,Liolaemus crandalli,"AVILA, MEDINA, PEREZ, SITES & MORANDO 2015",,Sauria,Liolaemidae,,20244
,Liolaemus cranwelli,(DONOSO-BARROS 1973),,Sauria,Liolaemidae,,15599
,Liolaemus crepuscularis,ABDALA & DÍAZ-GOMEZ 2006,,Sauria,Liolaemidae,,15600
,Liolaemus cristiani,"NAVARRO, NÚÑEZ & LOYOLA 1991",,Sauria,Liolaemidae,,15601
,Liolaemus curicensis,MÜLLER & HELLMICH 1938,,Sauria,Liolaemidae,,15602
,Liolaemus curis,NÚÑEZ & LABRA 1985,,Sauria,Liolaemidae,,15603
,Liolaemus cuyanus,CEI & SCOLARO 1980,,Sauria,Liolaemidae,,15604
,Liolaemus cuyumhue,"AVILA, MORANDO, PEREZ & SITES 2009",,Sauria,Liolaemidae,,15605
,Liolaemus cyaneinotatus,"MARTINEZ, AVILA, PEREZ, PEREZ, SITES & MORANDO 2011",,Sauria,Liolaemidae,,15606
,Liolaemus cyanogaster,(DUMÉRIL & BIBRON 1837),,Sauria,Liolaemidae,,15607
,Liolaemus darwinii,(BELL 1843),,Sauria,Liolaemidae,,15608
,Liolaemus diaguita,"ABDALA, QUINTEROS, ARIAS, PORTELLI & PALAVECINO 2011",,Sauria,Liolaemidae,,15609
,Liolaemus dicktracyi,ESPINOZA & LOBO 2003,,Sauria,Liolaemidae,,15610
,Liolaemus disjunctus,LAURENT 1990,,Sauria,Liolaemidae,,15611
,Liolaemus ditadai,CEI 1983,,Sauria,Liolaemidae,,15612
,Liolaemus donosobarrosi,(CEI 1974),,Sauria,Liolaemidae,,15613
,Liolaemus dorbignyi,KOSLOWSKY 1898,,Sauria,Liolaemidae,,15614
,Liolaemus duellmani,CEI 1978,,Sauria,Liolaemidae,,15615
,Liolaemus dumerili,"ABDALA, SEMHAN, MORENO AZOCAR, BONINO, PAZ & CRUZ 2012",,Sauria,Liolaemidae,,15616
,Liolaemus eleodori,"CEI, ETHERIDGE & VIDELA 1985",,Sauria,Liolaemidae,,15617
,Liolaemus elongatus,KOSLOWSKY 1896,"
",Sauria,Liolaemidae,,15618
,Liolaemus erguetae,LAURENT 1995,,Sauria,Liolaemidae,,15619
,Liolaemus erroneus,(NÚÑEZ & YÁÑEZ 1983),,Sauria,Liolaemidae,,15620
,Liolaemus escarchadosi,SCOLARO 1997,,Sauria,Liolaemidae,,15621
,Liolaemus espinozai,ABDALA 2005,,Sauria,Liolaemidae,,15622
,Liolaemus etheridgei,LAURENT 1998,,Sauria,Liolaemidae,,15623
,Liolaemus evaristoi,"GUTIÉRREZ, CHAPARRO, VÁSQUEZ, QUIROZ, AGUILAR-KIRGIN & ABDALA 2018",,Sauria,Liolaemidae,,21548
,Liolaemus exploratorum,CEI & WILLIAMS 1984,,Sauria,Liolaemidae,,15624
,Liolaemus fabiani,YÁÑEZ & NÚÑEZ 1983,,Sauria,Liolaemidae,,15625
,Liolaemus famatinae,CEI 1980,,Sauria,Liolaemidae,,15626
,Liolaemus fittkaui,LAURENT 1986,,Sauria,Liolaemidae,,15627
,Liolaemus fitzgeraldi,BOULENGER 1899,,Sauria,Liolaemidae,,15628
,Liolaemus fitzingerii,(DUMÉRIL & BIBRON 1837),,Sauria,Liolaemidae,,15629
,Liolaemus flavipiceus,CEI & VIDELA 2003,,Sauria,Liolaemidae,,15630
,Liolaemus forsteri,LAURENT 1982,,Sauria,Liolaemidae,,15631
,Liolaemus foxi,"NÚÑEZ, NAVARRO & VELOSO 2000",,Sauria,Liolaemidae,,15632
,Liolaemus frassinettii,NÚÑEZ 2007,,Sauria,Liolaemidae,,15633
,Liolaemus fuscus,BOULENGER 1885,,Sauria,Liolaemidae,,15634
,Liolaemus galactostictos,"AVILA, VRDOLJAK, MEDINA, MASSINI, FULVIO-PEREZ, SITES & MORANDO 2021",,Sauria,Liolaemidae,,23568
,Liolaemus gallardoi,CEI & SCOLARO 1982,,Sauria,Liolaemidae,,15635
,Liolaemus gardeli,"VERRASTRO, MANEYRO, DA SILVA & FARIAS 2017",,Sauria,Liolaemidae,,20937
,Liolaemus goetschi,MÜLLER & HELLMICH 1938,,Sauria,Liolaemidae,,15636
,Liolaemus gracielae,"ABDALA, ACOSTA, CABRERA, VILLAVICENCIO & MARINERO 2009",,Sauria,Liolaemidae,,15637
,Liolaemus gracilis,(BELL 1843),,Sauria,Liolaemidae,,15638
,Liolaemus gravenhorstii,(GRAY 1845),,Sauria,Liolaemidae,,15639
,Liolaemus griseus,LAURENT 1984,,Sauria,Liolaemidae,,15640
,Liolaemus grosseorum,ETHERIDGE 2001,,Sauria,Liolaemidae,,15641
,Liolaemus gununakuna,"AVILA, MORANDO, PEREZ & SITES 2004",,Sauria,Liolaemidae,,15642
,Liolaemus hajeki,"NÚÑEZ, PINCHEIRA-DONOSO & GARÍN 2004",,Sauria,Liolaemidae,,15643
,Liolaemus halonastes,"LOBO, SLODKI & VALDECANTOS 2010",,Sauria,Liolaemidae,,15644
,Liolaemus hatcheri,STEJNEGER 1909,,Sauria,Liolaemidae,,15645
,Liolaemus hauthali,"ABDALA, DÍAZ-GÓMEZ  LANGSTROTH 2021",,Sauria,Liolaemidae,,23619
,Liolaemus heliodermis,"ESPINOZA, LOBO & CRUZ 2000",,Sauria,Liolaemidae,,15646
,Liolaemus hellmichi,DONOSO-BARROS 1975,,Sauria,Liolaemidae,,15647
,Liolaemus hermannunezi,"PINCHEIRA-DONOSO, SCOLARO & SCHULTE 2007",,Sauria,Liolaemidae,,15648
,Liolaemus huacahuasicus,LAURENT 1985,,Sauria,Liolaemidae,,15649
,Liolaemus huayra,"ABDALA, QUINTEROS & ESPINOZA 2008",,Sauria,Liolaemidae,,15650
,Liolaemus hugoi,"BULACIOS-ARROYO, SEMHAN, PAZ, CHAFRAT & ABDALA 2021",,Sauria,Liolaemidae,,23628
,Liolaemus igneus,DEMANGEL 2016,,Sauria,Liolaemidae,,20845
,Liolaemus inacayali,ABDALA 2003,,Sauria,Liolaemidae,,15651
,Liolaemus incaicus,"LOBO, QUINTEROS & GÓMEZ 2007",,Sauria,Liolaemidae,,15652
,Liolaemus insolitus,CEI 1982,,Sauria,Liolaemidae,,15653
,Liolaemus inti,"ABDALA, QUINTEROS & ESPINOZA 2008",,Sauria,Liolaemidae,,15654
,Liolaemus irregularis,LAURENT 1986,,Sauria,Liolaemidae,,15655
,Liolaemus isabelae,NAVARRO & NÚÑEZ 1993,,Sauria,Liolaemidae,,15656
,Liolaemus islugensis,ORTIZ & MARQUET 1987,,Sauria,Liolaemidae,,20949
,Liolaemus jamesi,(BOULENGER 1891),"Liolaemus jamesi jamesi (BOULENGER 1891)
Liolaemus jamesi aymararum VELOSO, SALLABERRY, NAVARRO, ITURRA, VALENCIA, PENNA & DÍAZ 1982",Sauria,Liolaemidae,,15657
,Liolaemus janequeoae,"TRONCOSO-PALACIOS, DIAZ, PUAS & RIVEROS-RIFFO & ELORZA 2016",,Sauria,Liolaemidae,,20661
,Liolaemus josei,ABDALA 2005,,Sauria,Liolaemidae,,15658
,Liolaemus juanortizi,YOUNG-DOWNEY & MORENO 1992,,Sauria,Liolaemidae,,15659
,Liolaemus kingii,(BELL 1843),,Sauria,Liolaemidae,,15660
,Liolaemus kolengh,ABDALA & LOBO 2006,,Sauria,Liolaemidae,,15661
,Liolaemus koslowskyi,ETHERIDGE 1993,,Sauria,Liolaemidae,,15662
,Liolaemus kriegi,MÜLLER & HELLMICH 1939,,Sauria,Liolaemidae,,15663
,Liolaemus kunza,"ABDALA, SEMHAN & PAZ 2021",,Sauria,Liolaemidae,,23562
,Liolaemus laurenti,ETHERIDGE 1992,,Sauria,Liolaemidae,,15665
,Liolaemus lavillai,ABDALA & LOBO 2006,,Sauria,Liolaemidae,,15666
,Liolaemus leftrarui,"TRONCOSO-PALACIOS, DIAZ, PUAS & RIVEROS-RIFFO & ELORZA 2016",,Sauria,Liolaemidae,,20664
,Liolaemus lemniscatus,GRAVENHORST 1838,,Sauria,Liolaemidae,,15667
,Liolaemus lentus,GALLARDO 1966,,Sauria,Liolaemidae,,15668
,Liolaemus lenzi,(BOETTGER 1891),,Sauria,Liolaemidae,revalidated from synonymy,24269
,Liolaemus leopardinus,MÜLLER & HELLMICH 1932,,Sauria,Liolaemidae,,15669
,Liolaemus lineomaculatus,BOULENGER 1885,,Sauria,Liolaemidae,,15670
,Liolaemus loboi,ABDALA 2003,,Sauria,Liolaemidae,,15671
,Liolaemus lonquimayensis,"ESCOBAR-HUERTA, SANTIBÁÑEZ-TORO & ORTIZ 2015",,Sauria,Liolaemidae,,20216
,Liolaemus lopezi,IBARRA-VIDAL 2005,,Sauria,Liolaemidae,,15672
,Liolaemus lorenzmuelleri,HELLMICH 1950,,Sauria,Liolaemidae,,15673
,Liolaemus lutzae,MERTENS 1938,,Sauria,Liolaemidae,,15674
,Liolaemus magellanicus,HOMBRON & JACQUINOT 1853,,Sauria,Liolaemidae,,15675
,Liolaemus maldonadae,NAVARRO & NÚÑEZ 1991,,Sauria,Liolaemidae,,15676
,Liolaemus mapuche,ABDALA 2002,,Sauria,Liolaemidae,,15678
,Liolaemus martorii,ABDALA 2003,,Sauria,Liolaemidae,,15679
,Liolaemus melaniceps,PINCHEIRA-DONOSO & NÚÑEZ 2005,,Sauria,Liolaemidae,,15680
,Liolaemus melanogaster,LAURENT 1998,,Sauria,Liolaemidae,,15681
,Liolaemus melanopleurus,(PHILIPPI 1860),,Sauria,Liolaemidae,,15682
,Liolaemus melanops,BURMEISTER 1888,,Sauria,Liolaemidae,,15683
,Liolaemus meraxes,"QUINTEROS, RUIZ-MONACHESI & ABDALA 2019",,Sauria,Liolaemidae,,22469
,Liolaemus messii,"RUIZ, QUIPILDOR, RUIZ-MONACHESI, ESCALANTE, VALDECANTOS & LOBO 2021",,Sauria,Liolaemidae,,23688
,Liolaemus millcayac,ABDALA & JUÁREZ-HEREDIA 2013,,Sauria,Liolaemidae,,15684
,Liolaemus molinai,"VALLADARES, ETHERIDGE, SCHULTE, MANRIQUEZ & SPOTORNO 2002",,Sauria,Liolaemidae,,15685
,Liolaemus montanezi,CABRERA & MONGUILLOT 2006,,Sauria,Liolaemidae,,15686
,Liolaemus montanus,KOSLOWSKY 1898,,Sauria,Liolaemidae,,15687
,Liolaemus monticola,MÜLLER & HELLMICH 1932,,Sauria,Liolaemidae,,15688
,Liolaemus moradoensis,HELLMICH 1950,,Sauria,Liolaemidae,,15689
,Liolaemus morandae,"BREITMAN, PARRA, PÉREZ & SITES 2011",,Sauria,Liolaemidae,,15690
,Liolaemus morenoi,ETHERIDGE & CHRISTIE 2003,,Sauria,Liolaemidae,,15691
,Liolaemus multicolor,KOSLOWSKY 1898,,Sauria,Liolaemidae,,15692
,Liolaemus multiformis,(COPE 1875),,Sauria,Liolaemidae,revalidated from synonymy,24284
,Liolaemus multimaculatus,(DUMÉRIL & BIBRON 1837),,Sauria,Liolaemidae,,15693
,Liolaemus nazca,"AGUILAR-PUNTRIANO, RAMÍREZ, CASTILLO, MENDOZA, VARGAS & SITES JR 2019",,Sauria,Liolaemidae,,22475
,Liolaemus neuquensis,MÜLLER & HELLMICH 1939,,Sauria,Liolaemidae,,15694
,Liolaemus nigriceps,(PHILIPPI 1860),,Sauria,Liolaemidae,,15695
,Liolaemus nigromaculatus,(WIEGMANN 1834),,Sauria,Liolaemidae,,15696
,Liolaemus nigroviridis,MÜLLER & HELLMICH 1932,,Sauria,Liolaemidae,,15697
,Liolaemus nitidus,(WIEGMANN 1834),,Sauria,Liolaemidae,,15698
,Liolaemus normae,"ESQUERRÉ, RAMÍREZ-ÁLVAREZ, PAVÓN-VÁZQUEZ, TRONCOSO-PALACIOS, GARÍN, KEOGH & LEACHÉ 2019",,Sauria,Liolaemidae,,22031
,Liolaemus occipitalis,BOULENGER 1885,,Sauria,Liolaemidae,,15699
,Liolaemus olongasta,ETHERIDGE 1993,,Sauria,Liolaemidae,,15700
,Liolaemus omorfi,"DEMANGEL, SEPÚLVEDA, JARA, PINCHEIRA-DONOSO & NÚÑEZ 2015",,Sauria,Liolaemidae,,20313
,Liolaemus orko,ABDALA & QUINTEROS 2008,,Sauria,Liolaemidae,,15702
,Liolaemus ornatus,KOSLOWSKY 1898,,Sauria,Liolaemidae,,15703
,Liolaemus ortizii,LAURENT 1982,,Sauria,Liolaemidae,,15704
,Liolaemus pacha,"JUÁREZ HEREDIA, ROBLES & HALLOY 2013",,Sauria,Liolaemidae,,15705
,Liolaemus pachacutec,"AGUILAR, WOOD, CUSI, GUZMÁN, HUARI, LUNDBERG, MORTENSEN, RAMÍREZ, ROBLES, SUÁREZ, TICONA, VARGAS, VENEGAS & SITES 2013",,Sauria,Liolaemidae,,15706
,Liolaemus pachecoi,LAURENT 1995,,Sauria,Liolaemidae,,15707
,Liolaemus pagaburoi,LOBO & ESPINOZA 1999,,Sauria,Liolaemidae,,15708
,Liolaemus pantherinus,PELLEGRIN 1909,,Sauria,Liolaemidae,,15709
,Liolaemus parthenos,"ABDALA, BALDO, JUÁREZ & ESPINOZA 2016",,Sauria,Liolaemidae,,20457
,Liolaemus parvus,"QUINTEROS, ABDALA, GÓMEZ & SCROCCHI 2008",,Sauria,Liolaemidae,,15710
,Liolaemus patriciaiturrae,NAVARRO & NÚÑEZ 1993,,Sauria,Liolaemidae,,15711
,Liolaemus paulinae,DONOSO-BARROS 1961,,Sauria,Liolaemidae,,15712
,Liolaemus petrophilus,DONOSO-BARROS & CEI 1971,,Sauria,Liolaemidae,,15713
,Liolaemus pictus,(DUMÉRIL & BIBRON 1837),"Liolaemus pictus pictus (DUMÉRIL & BIBRON 1837)
Liolaemus pictus argentinus MÜLLER & HELLMICH 1939
Liolaemus pictus chiloeensis MÜLLER & HELLMICH 1939
Liolaemus pictus major BOULENGER 1885
Liolaemus pictus talcanensis URBINA & ZUÑIGA 1977
Liolaemus pictus codoceae PINCHEIRA-DONOSO & NUNEZ 2005",Sauria,Liolaemidae,,15714
,Liolaemus pikunche,TRONCOSO-PALACIOS & RAMÍREZ-ÁLVAREZ 2021,,Sauria,Liolaemidae,,24194
,Liolaemus pipanaco,ABDALA & JUÁREZ-HEREDIA 2013,,Sauria,Liolaemidae,,15715
,Liolaemus platei,WERNER 1898,,Sauria,Liolaemidae,,15716
,Liolaemus pleopholis,LAURENT 1998,,Sauria,Liolaemidae,,15717
,Liolaemus poconchilensis,VALLADARES 2004,,Sauria,Liolaemidae,,15718
,Liolaemus poecilochromus,LAURENT 1986,,Sauria,Liolaemidae,,15719
,Liolaemus polystictus,LAURENT 1992,,Sauria,Liolaemidae,,15720
,Liolaemus porosus,"ABDALA, PAZ & SEMHAN 2013",,Sauria,Liolaemidae,,15721
,Liolaemus pseudoanomalus,(CEI 1981),,Sauria,Liolaemidae,,15722
,Liolaemus pseudolemniscatus,LAMBOROT & ORTIZ 1990,,Sauria,Liolaemidae,,15723
,Liolaemus puelche,"AVILA, MORANDO,  PEREZ & SITES 2007",,Sauria,Liolaemidae,,15724
,Liolaemus pulcherrimus,LAURENT 1992,,Sauria,Liolaemidae,,15725
,Liolaemus puna,LOBO & ESPINOZA 2004,,Sauria,Liolaemidae,,15726
,Liolaemus punmahuida,"AVILA, PEREZ & MORANDO 2003",,Sauria,Liolaemidae,,15727
,Liolaemus puritamensis,NÚÑEZ & FOX 1989,,Sauria,Liolaemidae,,15728
,Liolaemus purul,"ABDALA, SEMHAN, MORENO AZOCAR, BONINO, PAZ & CRUZ 2012",,Sauria,Liolaemidae,,15729
,Liolaemus pyriphlogos,QUINTEROS 2012,,Sauria,Liolaemidae,,15730
,Liolaemus qalaywa,"CHAPARRO, QUIRÓZ, MAMANI, GUTIÉRREZ, CONDORI, DE LA RIVA, HERRERA-JUÁREZ, CERDEÑA, ARAPA & ABDALA 2020",,Sauria,Liolaemidae,,23000
,Liolaemus quilmes,ETHERIDGE 1993,,Sauria,Liolaemidae,,15731
,Liolaemus quinterosi,"RUIZ, QUIPILDOR, BULACIOS-ARROYO, CHAFRAT & ABDALA 2019",,Sauria,Liolaemidae,,22106
,Liolaemus rabinoi,(CEI 1974),,Sauria,Liolaemidae,,15732
,Liolaemus ramirezae,LOBO & ESPINOZA 1999,,Sauria,Liolaemidae,,15733
,Liolaemus reichei,(WERNER 1907),,Sauria,Liolaemidae,,24225
,Liolaemus riojanus,CEI 1979,,Sauria,Liolaemidae,,15736
,Liolaemus robertmertensi,HELLMICH 1964,,Sauria,Liolaemidae,,15737
,Liolaemus robertoi,PINCHEIRA-DONOSO & NÚÑEZ 2004,,Sauria,Liolaemidae,,15738
,Liolaemus robustus,LAURENT 1992,,Sauria,Liolaemidae,,15739
,Liolaemus rosenmanni,NÚÑEZ & NAVARRO 1992,,Sauria,Liolaemidae,,15740
,Liolaemus rothi,KOSLOWSKY 1898,,Sauria,Liolaemidae,,15741
,Liolaemus ruibali,DONOSO-BARROS 1961,,Sauria,Liolaemidae,,15742
,Liolaemus sagei,ETHERIDGE & CHRISTIE 2003,,Sauria,Liolaemidae,,15743
,Liolaemus salinicola,LAURENT 1986,,Sauria,Liolaemidae,,15744
,Liolaemus salitrosus,"ABDALA, PAZ, SEMHAN, GARCIA, AGUILAR-KIRIGIN, FARÍAS, VALLADARES, POBLETE, QUIPILDOR, VALDES & LANGSROTH 2021",,Sauria,Liolaemidae,,23559
,Liolaemus sanjuanensis,CEI 1982,,Sauria,Liolaemidae,,15745
,Liolaemus sarmientoi,DONOSO-BARROS 1973,,Sauria,Liolaemidae,,15746
,Liolaemus saxatilis,AVILA & CEI 1992,,Sauria,Liolaemidae,,15747
,Liolaemus scapularis,LAURENT 1982,,Sauria,Liolaemidae,,15748
,Liolaemus schmidti,(MARX 1960),,Sauria,Liolaemidae,,15749
,Liolaemus schroederi,MÜLLER & HELLMICH 1938,,Sauria,Liolaemidae,,15750
,Liolaemus scolaroi,PINCHEIRA-DONOSO & NUNEZ 2005,,Sauria,Liolaemidae,,15751
,Liolaemus scorialis,"TRONCOSO-PALACIOS, DÍAZ, ESQUERRÉ & URRA 2015",,Sauria,Liolaemidae,,20240
,Liolaemus scrocchii,"QUINTEROS, ABDALA & LOBO 2008",,Sauria,Liolaemidae,,15752
,Liolaemus senguer,ABDALA 2005,,Sauria,Liolaemidae,,15753
,Liolaemus septentrionalis,PINCHEIRA-DONOSO & NUNEZ 2005,,Sauria,Liolaemidae,,15754
,Liolaemus shehuen,"ABDALA, DÍAZ-GÓMEZ & JUAREZ-HEREDIA 2012",,Sauria,Liolaemidae,,15755
,Liolaemus shitan,"ABDALA, QUINTEROS, SCROCCHI & STAZZONELLI 2010",,Sauria,Liolaemidae,,15756
,Liolaemus signifer,(DUMÈRIL & BIBRON 1837),,Sauria,Liolaemidae,,15757
,Liolaemus silvai,ORTIZ 1989,,Sauria,Liolaemidae,,15758
,Liolaemus silvanae,(DONOSO-BARROS & CEI 1971),,Sauria,Liolaemidae,,15759
,Liolaemus sitesi,"AVILA, OLAVE, PEREZ, PEREZ & MORANDO 2013",,Sauria,Liolaemidae,,15760
,Liolaemus smaug,"ABDALA, QUINTEROS, SCROCCHI & STAZZONELLI 2010",,Sauria,Liolaemidae,,15761
,Liolaemus somuncurae,CEI & SCOLARO 1981,,Sauria,Liolaemidae,,15762
,Liolaemus stolzmanni,(STEINDACHNER 1891),,Sauria,Liolaemidae,,15763
,Liolaemus tacnae,(SHREVE 1941),,Sauria,Liolaemidae,,15764
,Liolaemus tacora,DEMANGEL 2016,,Sauria,Liolaemidae,,20848
,Liolaemus tajzara,AGUILAR-KIRIGIN 2019,,Sauria,Liolaemidae,,22515
,Liolaemus talampaya,"AVILA, MORANDO, PEREZ & SITES 2004",,Sauria,Liolaemidae,,15765
,Liolaemus tandiliensis,"VEGA, BELLAGAMBA & LOBO 2008",,Sauria,Liolaemidae,,15766
,Liolaemus tari,SCOLARO & CEI 1997,,Sauria,Liolaemidae,,15767
,Liolaemus tehuelche,ABDALA 2003,,Sauria,Liolaemidae,,15768
,Liolaemus telsen,CEI & SCOLARO 1999,,Sauria,Liolaemidae,,15769
,Liolaemus tenuis,(DUMÉRIL & BIBRON 1837),"Liolaemus tenuis tenuis (DUMÉRIL & BIBRON 1837)
Liolaemus tenuis punctatissimus MÜLLER & HELLMICH 1933",Sauria,Liolaemidae,,15770
,Liolaemus terani,"ABDALA, DÍAZ-GÓMEZ  LANGSTROTH 2021",,Sauria,Liolaemidae,,23622
,Liolaemus thermarum,VIDELA & CEI 1996,,Sauria,Liolaemidae,,15771
,Liolaemus thomasi,LAURENT 1998,,Sauria,Liolaemidae,,15772
,Liolaemus tirantii,"AVILA, FULVIO-PEREZ, MINOLI, MEDINA, SITES & MORANDO 2017",,Sauria,Liolaemidae,,20987
,Liolaemus tolhuaca,DEMANGEL 2016,,Sauria,Liolaemidae,,20851
,Liolaemus torresi,"(NÚÑEZ, NAVARRO, GARÍN, PINCHEIRA-DONOSO & 
MERIGGIO 2003)",,Sauria,Liolaemidae,,15773
,Liolaemus tregenzai,PINCHEIRA-DONOSO & SCOLARO 2007,,Sauria,Liolaemidae,,15774
,Liolaemus tristis,SCOLARO & CEI 1997,,Sauria,Liolaemidae,,15775
