tax_id,Order,MSWFamilyLatin,Scientific,MSW3_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel
16675,Rodentia,Cricetidae,Peromyscus mekisturus,1608,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,60,Ref_117,1
16676,Rodentia,Cricetidae,Peromyscus melanocarpus,1613,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,59,Ref_117,1
16677,Rodentia,Cricetidae,Peromyscus melanophrys,1626,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16678,Rodentia,Cricetidae,Peromyscus melanotis,1637,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,39.6,Ref_117,1
16679,Rodentia,Cricetidae,Peromyscus melanurus,1636,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16680,Rodentia,Cricetidae,Peromyscus merriami,1635,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16681,Rodentia,Cricetidae,Peromyscus mexicanus,1634,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,32.6,Ref_117,1
16682,Rodentia,Cricetidae,Peromyscus nasutus,1633,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,28,Ref_117,1
16683,Rodentia,Cricetidae,Peromyscus ochraventer,1632,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16684,Rodentia,Cricetidae,Peromyscus pectoralis,1631,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,39,Ref_117,1
16685,Rodentia,Cricetidae,Peromyscus perfulvus,1629,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16686,Rodentia,Cricetidae,Peromyscus polius,1627,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16687,Rodentia,Cricetidae,Peromyscus pseudocrinitus,1623,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,33.03,Ref_178,2
16688,Rodentia,Cricetidae,Peromyscus sejugis,1612,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,21.5,Ref_58,1
