"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","PelagicSpecialist"
"Adelomyia melanogenys","bird","Apodiformes","Trochilidae",16,"tavg",-0.55886620299578,-0.631182909525355,0.0769230769230769,0
"Aechmophorus clarkii","bird","Podicipediformes","Podicipedidae",15,"tavg",-0.26576121837502,-0.272297341280192,0.0833333333333333,0
"Aechmophorus occidentalis","bird","Podicipediformes","Podicipedidae",43,"tavg",-0.483016152910859,-0.526910801825033,0.025,0
"Aegithalos caudatus","bird","Passeriformes","Aegithalidae",8,"tavg",-0.0577827427608937,-0.0578471811142584,0.2,0
"Aegithalos concinnus","bird","Passeriformes","Aegithalidae",7,"tavg",0.0226608879815461,0.0226647680854533,0.25,0
"Aegolius acadicus","bird","Strigiformes","Strigidae",87,"tavg",-0.221677637500395,-0.225419759892481,0.0119047619047619,0
"Aegolius funereus","bird","Strigiformes","Strigidae",22,"tavg",0.145062259326803,0.146092820554331,0.0526315789473684,0
"Aeronautes saxatalis","bird","Apodiformes","Apodidae",12,"tavg",-0.344112525226038,-0.358749999915487,0.111111111111111,0
"Aethopyga gouldiae","bird","Passeriformes","Nectariniidae",6,"tavg",0.242742162810781,0.247685919616478,0.333333333333333,0
"Aethopyga nipalensis","bird","Passeriformes","Nectariniidae",7,"tavg",-0.0667734598808147,-0.0668729670493697,0.25,0
"Agapornis roseicollis","bird","Psittaciformes","Psittacidae",5,"tavg",0.642350661798643,0.762165410400875,0.5,0
"Agelaius phoeniceus","bird","Passeriformes","Icteridae",121,"tavg",-0.230714968053018,-0.234944500386874,0.00847457627118644,0
"Agelaius tricolor","bird","Passeriformes","Icteridae",5,"tavg",-0.132812640253587,-0.133601913326087,0.5,0
"Aglaeactis cupripennis","bird","Apodiformes","Trochilidae",13,"tavg",0.0184779936526292,0.0184800971025123,0.1,0
"Aglaiocercus kingii","bird","Apodiformes","Trochilidae",10,"tavg",-0.447484517430362,-0.481550528782225,0.142857142857143,NA
"Ailuroedus buccoides","bird","Passeriformes","Ptilonorhynchidae",11,"tavg",0.0950710140318678,0.0953590105336338,0.125,0
"Ailuroedus melanotis","bird","Passeriformes","Ptilonorhynchidae",8,"tavg",-0.061142512328395,-0.0612188755493555,0.2,0
"Aimophila ruficeps","bird","Passeriformes","Passerellidae",24,"tavg",-0.34659487481219,-0.361568513535979,0.0476190476190476,0
"Aix sponsa","bird","Anseriformes","Anatidae",27,"tavg",-0.151269753402558,-0.152439670282344,0.0416666666666667,0
"Alauda arvensis","bird","Passeriformes","Alaudidae",7,"tavg",-0.391311896062463,-0.413348199607791,0.25,0
"Alcedo atthis","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.654505814571183,-0.783140914063111,0.25,0
"Alcedo azurea","bird","Coraciiformes","Alcedinidae",8,"tavg",-0.121957873657084,-0.122567983622031,0.2,0
"Alcedo cristata","bird","Coraciiformes","Alcedinidae",10,"tavg",-0.747029977169159,-0.966200737170412,0.142857142857143,0
"Alcedo cyanopectus","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.229118319995671,-0.23325873978213,0.25,0
"Alcedo leucogaster","bird","Coraciiformes","Alcedinidae",7,"tavg",0.544197885732903,0.610100565660607,0.25,0
"Alcedo quadribrachys","bird","Coraciiformes","Alcedinidae",7,"tavg",-0.69712859797233,-0.86169237114431,0.25,0
"Alcippe castaneceps","bird","Passeriformes","Pellorneidae",8,"tavg",-0.0844557753201365,-0.0846574405177411,0.2,0
"Alcippe morrisonia","bird","Passeriformes","Pellorneidae",10,"tavg",-0.128377553275012,-0.129089865097857,0.142857142857143,0
"Alcippe schaefferi","bird","Passeriformes","Pellorneidae",7,"tavg",0.0751799419488151,0.0753220638306225,0.25,NA
"Aleadryas rufinucha","bird","Passeriformes","Corvidae",6,"tavg",-0.732090780240382,-0.933218155197323,0.333333333333333,0
"Alectoris chukar","bird","Galliformes","Phasianidae",7,"tavg",0.571428571428571,0.64964149206513,0.25,0
"Alethe diademata","bird","Passeriformes","Muscicapidae",8,"tavg",0.0339043624700213,0.0339173625244219,0.2,0
"Alethe poliocephala","bird","Passeriformes","Muscicapidae",7,"tavg",0.215922007312041,0.219374712936798,0.25,0
"Alophoixus bres","bird","Passeriformes","Pycnonotidae",7,"tavg",0.19865278058981,0.201329593351039,0.25,0
"Alophoixus ochraceus","bird","Passeriformes","Pycnonotidae",5,"tavg",-0.698136120629621,-0.863655171862628,0.5,0
"Alopochen aegyptiaca","bird","Anseriformes","Anatidae",5,"tavg",-0.189445574247187,-0.191762041893561,0.5,0
"Amalocichla incerta","bird","Passeriformes","Petroicidae",5,"tavg",-0.645058558177675,-0.76678921849311,0.5,0
"Amazilia amazilia","bird","Apodiformes","Trochilidae",8,"tavg",-0.354125497413127,-0.370152959564379,0.2,0
"Amazilia beryllina","bird","Apodiformes","Trochilidae",19,"tavg",0.25860575641867,0.2646136591595,0.0625,0
"Amazilia candida","bird","Apodiformes","Trochilidae",6,"tavg",-0.369891366939869,-0.388297241762161,0.333333333333333,0
"Amazilia chionogaster","bird","Apodiformes","Trochilidae",10,"tavg",-0.708252933257627,-0.883669616833313,0.142857142857143,0
"Amazilia cyanocephala","bird","Apodiformes","Trochilidae",8,"tavg",0.45999203652612,0.497301186814955,0.2,0
"Amazilia cyanura","bird","Apodiformes","Trochilidae",6,"tavg",0.0220570386443322,0.0220606167005267,0.333333333333333,0
"Amazilia fimbriata","bird","Apodiformes","Trochilidae",7,"tavg",0.285293522926568,0.29343522846224,0.25,0
"Amazilia rutila","bird","Apodiformes","Trochilidae",11,"tavg",-0.722753665233259,-0.91338642579879,0.125,0
"Amazilia tzacatl","bird","Apodiformes","Trochilidae",7,"tavg",0.366848450378334,0.384776579638856,0.25,0
"Amblycercus holosericeus","bird","Passeriformes","Icteridae",12,"tavg",0.811281443620609,1.13076653406399,0.111111111111111,0
"Amblyornis macgregoriae","bird","Passeriformes","Ptilonorhynchidae",14,"tavg",-0.0328581692435564,-0.032870002118969,0.0909090909090909,0
"Amblyospiza albifrons","bird","Passeriformes","Ploceidae",7,"tavg",0.19879221160814,0.201474756972576,0.25,0
"Amblyramphus holosericeus","bird","Passeriformes","Icteridae",5,"tavg",-0.673125059058674,-0.81643539771525,0.5,0
"Ammodramus aurifrons","bird","Passeriformes","Passerellidae",8,"tavg",-0.242278450232602,-0.247193231419124,0.2,0
"Ammodramus caudacutus","bird","Passeriformes","Passerellidae",11,"tavg",0.461876843855148,0.499694474950069,0.125,0
"Ammodramus humeralis","bird","Passeriformes","Passerellidae",7,"tavg",-0.149693374895178,-0.150826767713351,0.25,0
"Ammodramus nelsoni","bird","Passeriformes","Passerellidae",5,"tavg",-0.080078715398746,-0.0802505479621024,0.5,0
"Ammodramus sandwichensis","bird","Passeriformes","Passerellidae",67,"tavg",0.14738893937221,0.148470337660625,0.015625,NA
"Ammodramus savannarum","bird","Passeriformes","Passerellidae",26,"tavg",-0.132010801242591,-0.132785764848144,0.0434782608695652,0
"Ampelion rubrocristatus","bird","Passeriformes","Cotingidae",14,"tavg",0.0549826762236793,0.0550381828850684,0.0909090909090909,0
"Amphispiza belli","bird","Passeriformes","Passerellidae",17,"tavg",0.487304333170749,0.532519080478581,0.0714285714285714,0
"Amphispiza bilineata","bird","Passeriformes","Passerellidae",26,"tavg",-0.615684171904144,-0.71802454912866,0.0434782608695652,0
"Anabacerthia striaticollis","bird","Passeriformes","Furnariidae",5,"tavg",-0.477882496278458,-0.520236465520364,0.5,0
"Anairetes flavirostris","bird","Passeriformes","Tyrannidae",12,"tavg",-0.298279153936652,-0.30762963452374,0.111111111111111,0
"Anairetes nigrocristatus","bird","Passeriformes","Tyrannidae",7,"tavg",-0.274725728322907,-0.281968215167255,0.25,0
"Anairetes parulus","bird","Passeriformes","Tyrannidae",15,"tavg",0.0626341393037682,0.0627162379515023,0.0833333333333333,0
"Anairetes reguloides","bird","Passeriformes","Tyrannidae",18,"tavg",-0.39332074328863,-0.415722478442141,0.0666666666666667,0
"Anas acuta","bird","Anseriformes","Anatidae",7,"tavg",-0.287695666926676,-0.296052170561577,0.25,0
"Anas americana","bird","Anseriformes","Anatidae",14,"tavg",-0.484936963361504,-0.529419153503947,0.0909090909090909,0
"Anas clypeata","bird","Anseriformes","Anatidae",17,"tavg",0.222408757150163,0.226188795484993,0.0714285714285714,0
"Anas crecca","bird","Anseriformes","Anatidae",16,"tavg",-0.479251044757405,-0.522011556973889,0.0769230769230769,0
"Anas cyanoptera","bird","Anseriformes","Anatidae",9,"tavg",-0.45165173311181,-0.486773352389757,0.166666666666667,0
"Anas discors","bird","Anseriformes","Anatidae",6,"tavg",-0.149988022328075,-0.151128182586174,0.333333333333333,0
"Anas platyrhynchos","bird","Anseriformes","Anatidae",44,"tavg",-0.173060436439351,-0.174819878533864,0.024390243902439,0
"Anas rubripes","bird","Anseriformes","Anatidae",6,"tavg",-0.318874069608847,-0.330393232577122,0.333333333333333,0
"Anas strepera","bird","Anseriformes","Anatidae",9,"tavg",0.365777477072689,0.383539625175181,0.166666666666667,0
"Anas undulata","bird","Anseriformes","Anatidae",5,"tavg",0.454945484880162,0.490918947031866,0.5,0
"Andigena hypoglauca","bird","Piciformes","Ramphastidae",6,"tavg",-0.233428969012946,-0.237812993061749,0.333333333333333,0
"Anisognathus igniventris","bird","Passeriformes","Thraupidae",10,"tavg",0.21004032230773,0.213213529497118,0.142857142857143,0
"Anisognathus lacrymosus","bird","Passeriformes","Thraupidae",7,"tavg",0.468243269125729,0.507817899070385,0.25,0
"Anisognathus somptuosus","bird","Passeriformes","Thraupidae",8,"tavg",-0.316853893634643,-0.328146000788962,0.2,0
"Anthochaera carunculata","bird","Passeriformes","Meliphagidae",7,"tavg",-0.0181848241863325,-0.0181868290841652,0.25,0
"Anthracothorax dominicus","bird","Apodiformes","Trochilidae",5,"tavg",-0.23964654834354,-0.24439909158487,0.5,0
"Anthracothorax nigricollis","bird","Apodiformes","Trochilidae",6,"tavg",-0.476490686685923,-0.518434286419658,0.333333333333333,0
"Anthreptes collaris","bird","Passeriformes","Nectariniidae",19,"tavg",-0.53756980075386,-0.600731386250267,0.0625,0
"Anthus hodgsoni","bird","Passeriformes","Motacillidae",14,"tavg",-0.639823378457953,-0.757874646212017,0.0909090909090909,0
"Anthus lutescens","bird","Passeriformes","Motacillidae",6,"tavg",-0.660551909044148,-0.793792132311071,0.333333333333333,0
"Anthus novaeseelandiae","bird","Passeriformes","Motacillidae",5,"tavg",-0.701646415445623,-0.870536116276782,0.5,0
"Anthus rubescens","bird","Passeriformes","Motacillidae",18,"tavg",-0.505634748987155,-0.556847614943181,0.0666666666666667,0
"Anthus similis","bird","Passeriformes","Motacillidae",6,"tavg",-0.855214495938118,-1.27525111735993,0.333333333333333,0
"Anthus spinoletta","bird","Passeriformes","Motacillidae",7,"tavg",-0.680412849875163,-0.829882389607106,0.25,0
"Anthus trivialis","bird","Passeriformes","Motacillidae",11,"tavg",0.236514047561885,0.241078361027673,0.125,0
"Antrostomus carolinensis","bird","Caprimulgiformes","Caprimulgidae",9,"tavg",-0.153876879872445,-0.155108935203959,0.166666666666667,NA
"Antrostomus vociferus","bird","Caprimulgiformes","Caprimulgidae",12,"tavg",-0.297723749043797,-0.307020099975811,0.111111111111111,NA
"Anumbius annumbi","bird","Passeriformes","Furnariidae",8,"tavg",-0.410198418175569,-0.43584975861852,0.2,0
"Apalis flavida","bird","Passeriformes","Cisticolidae",9,"tavg",0.15957509767964,0.16095066092657,0.166666666666667,0
"Aphelocoma californica","bird","Passeriformes","Corvidae",59,"tavg",-0.193421969274389,-0.195889709358447,0.0178571428571429,0
"Aphelocoma ultramarina","bird","Passeriformes","Corvidae",10,"tavg",-0.459275376320194,-0.496392569091437,0.142857142857143,0
"Aphriza virgata","bird","Charadriiformes","Scolopacidae",7,"tavg",-0.300801076674368,-0.310400141010425,0.25,0
"Aplonis cantoroides","bird","Passeriformes","Sturnidae",5,"tavg",0.201219430544828,0.204003117672659,0.5,0
"Aplonis metallica","bird","Passeriformes","Sturnidae",12,"tavg",0.311463615616126,0.322165446851847,0.111111111111111,0
"Aplonis striata","bird","Passeriformes","Sturnidae",5,"tavg",-0.373563978139857,-0.392558717818052,0.5,0
"Apus apus","bird","Apodiformes","Apodidae",9,"tavg",-0.385554152031377,-0.406567323487349,0.166666666666667,0
"Aquila chrysaetos","bird","Accipitriformes","Accipitridae",8,"tavg",-0.179643939286989,-0.181614729582263,0.2,0
"Arachnothera longirostra","bird","Passeriformes","Nectariniidae",14,"tavg",0.394500269151038,0.417118640796926,0.0909090909090909,0
"Aramides cajaneus","bird","Gruiformes","Rallidae",5,"tavg",0.508401721301073,0.560572015133775,0.5,NA
"Aramus guarauna","bird","Gruiformes","Aramidae",5,"tavg",-0.0999999999999999,-0.100335347731075,0.5,0
"Aratinga leucophthalmus","bird","Psittaciformes","Psittacidae",5,"tavg",-0.3,-0.309519604203112,0.5,NA
"Archilochus alexandri","bird","Apodiformes","Trochilidae",15,"tavg",0.0739236012970646,0.0740587012820691,0.0833333333333333,0
"Archilochus colubris","bird","Apodiformes","Trochilidae",106,"tavg",-0.0435235456727184,-0.0435510591541715,0.00970873786407767,0
"Ardea alba","bird","Pelecaniformes","Ardeidae",15,"tavg",-0.179671846476731,-0.181643567574692,0.0833333333333333,NA
"Ardea herodias","bird","Pelecaniformes","Ardeidae",37,"tavg",0.282675942540519,0.290588026661336,0.0294117647058824,0
"Arenaria interpres","bird","Charadriiformes","Scolopacidae",12,"tavg",0.0469453036339744,0.0469798362915551,0.111111111111111,0
"Arenaria melanocephala","bird","Charadriiformes","Scolopacidae",5,"tavg",-0.541866538194688,-0.606794228142447,0.5,0
"Arremon aurantiirostris","bird","Passeriformes","Passerellidae",5,"tavg",0.915258333032077,1.55900018785408,0.5,0
"Arremon brunneinucha","bird","Passeriformes","Passerellidae",19,"tavg",0.280020266562717,0.287704063215138,0.0625,0
"Arremon flavirostris","bird","Passeriformes","Passerellidae",7,"tavg",0.194279517587335,0.196780741021003,0.25,0
"Arremon taciturnus","bird","Passeriformes","Passerellidae",8,"tavg",-0.740243693681236,-0.95101826407016,0.2,0
"Arremonops rufivirgatus","bird","Passeriformes","Passerellidae",6,"tavg",-0.604066883445022,-0.699526093032129,0.333333333333333,0
"Arses telescopthalmus","bird","Passeriformes","Monarchidae",12,"tavg",-0.238316061276891,-0.242988014749002,0.111111111111111,NA
"Asio flammeus","bird","Strigiformes","Strigidae",43,"tavg",-0.506296360743621,-0.557736879526141,0.025,0
"Asio otus","bird","Strigiformes","Strigidae",57,"tavg",0.0822784713319661,0.082464897294368,0.0185185185185185,0
"Asthenes dorbignyi","bird","Passeriformes","Furnariidae",5,"tavg",-0.321470653838818,-0.333286398612802,0.5,0
"Asthenes pudibunda","bird","Passeriformes","Furnariidae",5,"tavg",-0.0163181085597451,-0.0163195571901411,0.5,0
"Athene cunicularia","bird","Strigiformes","Strigidae",38,"tavg",0.213068963699494,0.216384072586064,0.0285714285714286,0
"Atlapetes albinucha","bird","Passeriformes","Passerellidae",6,"tavg",-0.185068198920555,-0.187225586831239,0.333333333333333,0
"Atlapetes latinuchus","bird","Passeriformes","Passerellidae",7,"tavg",-0.189402511560512,-0.191717376548735,0.25,0
"Attila spadiceus","bird","Passeriformes","Tyrannidae",12,"tavg",-0.0345758569887802,-0.0345896452428124,0.111111111111111,0
"Aulacorhynchus derbianus","bird","Piciformes","Ramphastidae",5,"tavg",-0.214412785091869,-0.21779222594436,0.5,0
"Aulacorhynchus prasinus","bird","Piciformes","Ramphastidae",15,"tavg",-0.322326519413572,-0.334241199499496,0.0833333333333333,0
"Aulacorhynchus sulcatus","bird","Piciformes","Ramphastidae",5,"tavg",0.3,0.309519604203112,0.5,0
"Auriparus flaviceps","bird","Passeriformes","Remizidae",12,"tavg",-0.295884388095266,-0.305003051042843,0.111111111111111,0
"Automolus ochrolaemus","bird","Passeriformes","Furnariidae",19,"tavg",0.0908856182733594,0.0911371102068695,0.0625,0
"Aythya affinis","bird","Anseriformes","Anatidae",17,"tavg",-0.381264574293204,-0.401538478771328,0.0714285714285714,0
"Aythya americana","bird","Anseriformes","Anatidae",17,"tavg",0.0468470662236511,0.0468813823561216,0.0714285714285714,0
"Aythya collaris","bird","Anseriformes","Anatidae",19,"tavg",0.129202038295924,0.129928256408092,0.0625,0
"Aythya marila","bird","Anseriformes","Anatidae",8,"tavg",-0.282967779158976,-0.290905236313506,0.2,0
"Aythya valisineria","bird","Anseriformes","Anatidae",14,"tavg",0.145214876535129,0.146248721855686,0.0909090909090909,0
"Baeolophus atricristatus","bird","Passeriformes","Paridae",12,"tavg",-0.0548010918934323,-0.0548560497655637,0.111111111111111,0
"Baeolophus bicolor","bird","Passeriformes","Paridae",44,"tavg",-0.437818214476874,-0.469528427695008,0.024390243902439,0
"Baeolophus inornatus","bird","Passeriformes","Paridae",9,"tavg",0.126244399415616,0.126921566393009,0.166666666666667,0
"Baeolophus ridgwayi","bird","Passeriformes","Paridae",13,"tavg",0.467678381226303,0.507094622784675,0.1,0
"Baillonius bailloni","bird","Piciformes","Ramphastidae",5,"tavg",-0.2,-0.202732554054082,0.5,NA
"Barnardius zonarius","bird","Psittaciformes","Psittacidae",12,"tavg",-0.697321420151324,-0.862067601164262,0.111111111111111,0
"Bartramia longicauda","bird","Charadriiformes","Scolopacidae",16,"tavg",-0.385887020312654,-0.406958372137914,0.0769230769230769,0
"Basileuterus belli","bird","Passeriformes","Parulidae",9,"tavg",-0.472097181591966,-0.512765553246175,0.166666666666667,0
"Basileuterus culicivorus","bird","Passeriformes","Parulidae",17,"tavg",0.349843043659384,0.365264897841924,0.0714285714285714,0
"Basileuterus lachrymosus","bird","Passeriformes","Parulidae",8,"tavg",0.481754838504898,0.525266975513201,0.2,NA
"Basileuterus rivularis","bird","Passeriformes","Parulidae",5,"tavg",0.169854056911294,0.171516380974324,0.5,NA
"Basileuterus rufifrons","bird","Passeriformes","Parulidae",12,"tavg",0.0481190872507768,0.0481562779906818,0.111111111111111,0
"Basileuterus tristriatus","bird","Passeriformes","Parulidae",10,"tavg",-0.159144478509411,-0.160508820983954,0.142857142857143,0
"Batis capensis","bird","Passeriformes","Platysteiridae",5,"tavg",0.863945888365619,1.30869913935495,0.5,0
"Batis molitor","bird","Passeriformes","Platysteiridae",9,"tavg",-0.541578471454098,-0.606386511548571,0.166666666666667,0
"Bleda canicapillus","bird","Passeriformes","Pycnonotidae",6,"tavg",-0.819626753793503,-1.15567919234995,0.333333333333333,0
"Bleda syndactylus","bird","Passeriformes","Pycnonotidae",8,"tavg",-0.0509493937481477,-0.0509935480427928,0.2,0
"Boissonneaua matthewsii","bird","Apodiformes","Trochilidae",6,"tavg",0.839009146663469,1.21781732325577,0.333333333333333,0
"Bombycilla cedrorum","bird","Passeriformes","Bombycillidae",161,"tavg",-0.0786423120172546,-0.0788050403873288,0.00632911392405063,0
"Bombycilla garrulus","bird","Passeriformes","Bombycillidae",22,"tavg",-0.09094025244182,-0.0911921996989102,0.0526315789473684,0
"Bonasa umbellus","bird","Galliformes","Phasianidae",77,"tavg",0.0954892707099492,0.0957810990667585,0.0135135135135135,0
"Botaurus lentiginosus","bird","Pelecaniformes","Ardeidae",5,"tavg",0.5,0.549306144334055,0.5,0
"Brachypteryx montana","bird","Passeriformes","Muscicapidae",6,"tavg",0.204587797127281,0.20751611793403,0.333333333333333,0
"Bradornis pallidus","bird","Passeriformes","Muscicapidae",6,"tavg",-0.605363533304685,-0.701570253383886,0.333333333333333,0
"Branta bernicla","bird","Anseriformes","Anatidae",6,"tavg",0.714285714285714,0.895879734614028,0.333333333333333,0
"Branta canadensis","bird","Anseriformes","Anatidae",44,"tavg",-0.393690297546344,-0.416159741386331,0.024390243902439,0
"Branta hutchinsii","bird","Anseriformes","Anatidae",8,"tavg",0.627599838910011,0.737446369589148,0.2,0
"Brotogeris cyanoptera","bird","Psittaciformes","Psittacidae",5,"tavg",0.359416291138839,0.376215441558753,0.5,0
"Bubo scandiacus","bird","Strigiformes","Strigidae",18,"tavg",-0.487476481766426,-0.532744863760839,0.0666666666666667,NA
"Bubo virginianus","bird","Strigiformes","Strigidae",213,"tavg",-0.181320199033091,-0.183347430399247,0.00476190476190476,0
"Bucephala albeola","bird","Anseriformes","Anatidae",20,"tavg",-0.0841700962161286,-0.0843697160732663,0.0588235294117647,0
"Bucephala clangula","bird","Anseriformes","Anatidae",10,"tavg",0.535756662920879,0.598184815230284,0.142857142857143,0
"Burhinus capensis","bird","Charadriiformes","Burhinidae",5,"tavg",0.153896752812773,0.155129290173418,0.5,0
"Buteo jamaicensis","bird","Accipitriformes","Accipitridae",139,"tavg",0.0343260882018887,0.0343395796593976,0.00735294117647059,0
"Buteo lagopus","bird","Accipitriformes","Accipitridae",23,"tavg",0.0770750988142292,0.0772282684971733,0.05,0
"Buteo lineatus","bird","Accipitriformes","Accipitridae",37,"tavg",-0.103482770084933,-0.103854549872389,0.0294117647058824,0
"Buteo magnirostris","bird","Accipitriformes","Accipitridae",8,"tavg",-0.251501515001784,-0.257015070806355,0.2,0
"Buteo platypterus","bird","Accipitriformes","Accipitridae",21,"tavg",0.186424173521758,0.188630016824421,0.0555555555555556,0
"Buteo regalis","bird","Accipitriformes","Accipitridae",18,"tavg",-0.0717088921684272,-0.0718321857805709,0.0666666666666667,0
"Buteo swainsoni","bird","Accipitriformes","Accipitridae",21,"tavg",-0.351547447517531,-0.367208318172398,0.0555555555555556,0
"Buthraupis montana","bird","Passeriformes","Thraupidae",9,"tavg",-0.066438787760707,-0.0665368035786053,0.166666666666667,0
"Butorides striata","bird","Pelecaniformes","Ardeidae",25,"tavg",0.0825263996486025,0.082714520594811,0.0454545454545455,0
"Cacicus cela","bird","Passeriformes","Icteridae",7,"tavg",0.166680903670878,0.168250762122107,0.25,0
"Cacicus chrysonotus","bird","Passeriformes","Icteridae",7,"tavg",0.644897686212048,0.766513754314346,0.25,0
"Cacicus chrysopterus","bird","Passeriformes","Icteridae",6,"tavg",-0.243428671965377,-0.248415542609072,0.333333333333333,0
"Cacicus haemorrhous","bird","Passeriformes","Icteridae",5,"tavg",-0.630374935174772,-0.74203806768791,0.5,0
"Cacicus solitarius","bird","Passeriformes","Icteridae",6,"tavg",-0.371104989935263,-0.389703964295127,0.333333333333333,0
"Cacomantis castaneiventris","bird","Cuculiformes","Cuculidae",9,"tavg",-0.786227985319871,-1.06147565473778,0.166666666666667,0
"Cacomantis variolosus","bird","Cuculiformes","Cuculidae",5,"tavg",-0.571764540061248,-0.650140496870176,0.5,0
"Calamospiza melanocorys","bird","Passeriformes","Passerellidae",27,"tavg",-0.149120196575319,-0.150240502537469,0.0416666666666667,0
"Calandrella cheleensis","bird","Passeriformes","Alaudidae",8,"tavg",0.459577422370843,0.496775425692638,0.2,0
"Calcarius lapponicus","bird","Passeriformes","Calcariidae",17,"tavg",0.00160427159558657,0.00160427297188654,0.0714285714285714,0
"Calcarius ornatus","bird","Passeriformes","Calcariidae",13,"tavg",-0.369254956203782,-0.38756015672567,0.1,0
"Calidris acuminata","bird","Charadriiformes","Scolopacidae",5,"tavg",-0.0379224152938303,-0.0379406098588114,0.5,0
"Calidris alba","bird","Charadriiformes","Scolopacidae",26,"tavg",-0.445650310893592,-0.479259423028044,0.0434782608695652,0
"Calidris alpina","bird","Charadriiformes","Scolopacidae",31,"tavg",-0.418626573320971,-0.446025599666646,0.0357142857142857,0
"Calidris bairdii","bird","Charadriiformes","Scolopacidae",17,"tavg",0.201472851222184,0.204267246192778,0.0714285714285714,0
"Calidris canutus","bird","Charadriiformes","Scolopacidae",6,"tavg",0.122699964531335,0.12332134815438,0.333333333333333,0
"Calidris fuscicollis","bird","Charadriiformes","Scolopacidae",13,"tavg",-0.564427095377259,-0.639306388007349,0.1,0
"Calidris mauri","bird","Charadriiformes","Scolopacidae",18,"tavg",0.206371008288088,0.209377939087525,0.0666666666666667,0
"Calidris melanotos","bird","Charadriiformes","Scolopacidae",20,"tavg",-0.311118978515505,-0.321783830228095,0.0588235294117647,0
"Calidris minuta","bird","Charadriiformes","Scolopacidae",6,"tavg",-0.507501235065707,-0.559358397510185,0.333333333333333,0
"Calidris minutilla","bird","Charadriiformes","Scolopacidae",29,"tavg",-0.254360653602557,-0.260069624481119,0.0384615384615385,0
"Calidris pusilla","bird","Charadriiformes","Scolopacidae",22,"tavg",-0.048449115167534,-0.0484870771204861,0.0526315789473684,0
"Callipepla californica","bird","Galliformes","Odontophoridae",63,"tavg",-0.447158661893087,-0.481143160159525,0.0166666666666667,0
"Callipepla gambelii","bird","Galliformes","Odontophoridae",15,"tavg",-0.448266117498836,-0.482528252874951,0.0833333333333333,0
"Callipepla squamata","bird","Galliformes","Odontophoridae",6,"tavg",-0.428571428571429,-0.458145365937078,0.333333333333333,0
"Calypte anna","bird","Apodiformes","Trochilidae",58,"tavg",-0.0458079233758482,-0.0458400043700746,0.0181818181818182,0
"Calypte costae","bird","Apodiformes","Trochilidae",13,"tavg",0.136965851519922,0.137832099826795,0.1,0
"Camaroptera brachyura","bird","Passeriformes","Cisticolidae",9,"tavg",-0.949594568128078,-1.82763888582685,0.166666666666667,0
"Camaroptera brevicaudata","bird","Passeriformes","Cisticolidae",30,"tavg",0.110074694800386,0.110522526096581,0.037037037037037,NA
