"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph","SPID"
"Spermophilus mollis","mammal","Rodentia","Sciuridae",21,"npp",0.534199272973357,0.596002979691603,0.0555555555555556,"Spermophilus_mollis","SP486"
"Spermophilus pallidicauda","mammal","Rodentia","Sciuridae",9,"npp",-0.029392621866462,-0.0294010906089536,0.166666666666667,"Spermophilus_pallidicauda","SP487"
"Spermophilus parryii","mammal","Rodentia","Sciuridae",155,"npp",0.276200947590262,0.283564566001193,0.00657894736842105,"Spermophilus_parryii","SP488"
"Spermophilus richardsonii","mammal","Rodentia","Sciuridae",13,"npp",-0.393935364353189,-0.416449791672844,0.1,"Spermophilus_richardsonii","SP489"
"Spermophilus saturatus","mammal","Rodentia","Sciuridae",19,"npp",-0.0211863227159483,-0.0211894934694405,0.0625,"Spermophilus_saturatus","SP490"
"Spermophilus spilosoma","mammal","Rodentia","Sciuridae",24,"npp",0.223687890546851,0.227534898474147,0.0476190476190476,"Spermophilus_spilosoma","SP491"
"Spermophilus tereticaudus","mammal","Rodentia","Sciuridae",27,"npp",0.363112736692998,0.38046674061023,0.0416666666666667,"Spermophilus_tereticaudus","SP492"
"Spermophilus tridecemlineatus","mammal","Rodentia","Sciuridae",37,"npp",0.278669704726344,0.286239191864959,0.0294117647058824,"Spermophilus_tridecemlineatus","SP493"
"Spermophilus undulatus","mammal","Rodentia","Sciuridae",29,"npp",0.263881549396899,0.27027590764818,0.0384615384615385,"Spermophilus_undulatus","SP494"
"Spermophilus variegatus","mammal","Rodentia","Sciuridae",65,"npp",0.153223170800062,0.154439441032778,0.0161290322580645,"Spermophilus_variegatus","SP495"
"Spilogale gracilis","mammal","Carnivora","Mephitidae",6,"npp",0.135913197319201,0.136759477863831,0.333333333333333,"Spilogale_gracilis","SP496"
"Spilogale putorius","mammal","Carnivora","Mephitidae",8,"npp",-0.476190476190476,-0.518045965843388,0.2,"Spilogale_putorius","SP497"
"Sturnira lilium","mammal","Chiroptera","Phyllostomidae",80,"npp",-0.182708319744436,-0.184783114422395,0.012987012987013,"Sturnira_lilium","SP498"
