"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph","SPID"
"Dipodomys venustus","mammal","Rodentia","Heteromyidae",7,"tmin",0.492356235595094,0.539165782826211,0.25,"Dipodomys_venustus","SP120"
"Dipus sagitta","mammal","Rodentia","Dipodidae",15,"tmin",-0.594028341145984,-0.683868143848011,0.0833333333333333,"Dipus_sagitta","SP121"
"Dobsonia moluccensis","mammal","Chiroptera","Pteropodidae",9,"tmin",-0.561939097958463,-0.63566269669439,0.166666666666667,"Dobsonia_moluccensis","SP122"
"Dolichotis salinicola","mammal","Rodentia","Caviidae",6,"tmin",0.448951693133626,0.483386563559538,0.333333333333333,"Dolichotis_salinicola","SP123"
"Elephantulus edwardii","mammal","Macroscelidea","Macroscelididae",5,"tmin",-0.140892570505508,-0.141836107008889,0.5,"Elephantulus_edwardii","SP124"
"Elephantulus intufi","mammal","Macroscelidea","Macroscelididae",8,"tmin",-0.305056856200685,-0.315085926021116,0.2,"Elephantulus_intufi","SP125"
"Elephantulus rozeti","mammal","Macroscelidea","Macroscelididae",5,"tmin",0.0219264504826758,0.0219299653508797,0.5,"Elephantulus_rozeti","SP126"
"Elephantulus rupestris","mammal","Macroscelidea","Macroscelididae",17,"tmin",0.414663870071294,0.441230485453782,0.0714285714285714,"Elephantulus_rupestris","SP127"
"Eliomys quercinus","mammal","Rodentia","Myoxidae",13,"tmin",-0.0182604005247317,-0.0182624305270879,0.1,"Eliomys_quercinus","SP128"
"Ellobius tancrei","mammal","Rodentia","Cricetidae",19,"tmin",0.189606015693653,0.191928461123669,0.0625,"Ellobius_tancrei","SP129"
"Emballonura alecto","mammal","Chiroptera","Emballonuridae",8,"tmin",0.301062530667606,0.310687629994069,0.2,"Emballonura_alecto","SP130"
"Enhydra lutris","mammal","Carnivora","Mustelidae",138,"tmin",-0.0113757720335465,-0.0113762627776713,0.00740740740740741,"Enhydra_lutris","SP131"
"Eonycteris spelaea","mammal","Chiroptera","Pteropodidae",7,"tmin",0.88173245505199,1.38349938105581,0.25,"Eonycteris_spelaea","SP132"
"Epomophorus wahlbergi","mammal","Chiroptera","Pteropodidae",9,"tmin",-0.0175272488146452,-0.0175290439618264,0.166666666666667,"Epomophorus_wahlbergi","SP133"
"Eptesicus brasiliensis","mammal","Chiroptera","Vespertilionidae",8,"tmin",0.536485425541731,0.599207533583859,0.2,"Eptesicus_brasiliensis","SP134"
"Eptesicus furinalis","mammal","Chiroptera","Vespertilionidae",17,"tmin",-0.0560381825917749,-0.0560969518515999,0.0714285714285714,"Eptesicus_furinalis","SP135"
"Eptesicus fuscus","mammal","Chiroptera","Vespertilionidae",226,"tmin",0.171242477625918,0.172946396392048,0.00448430493273543,"Eptesicus_fuscus","SP136"
"Eptesicus gobiensis","mammal","Chiroptera","Vespertilionidae",8,"tmin",0.30372012627004,0.313612697711201,0.2,"Eptesicus_gobiensis","SP137"
"Erethizon dorsatum","mammal","Rodentia","Erethizontidae",34,"tmin",-0.185516122300825,-0.187689435626776,0.032258064516129,"Erethizon_dorsatum","SP138"
"Eumetopias jubatus","mammal","Carnivora","Otariidae",8,"tmin",0.285663177751576,0.293837682443123,0.2,"Eumetopias_jubatus","SP139"
"Eumops bonariensis","mammal","Chiroptera","Molossidae",20,"tmin",-0.231115375932135,-0.235367461318146,0.0588235294117647,"Eumops_bonariensis","SP140"
"Eumops glaucinus","mammal","Chiroptera","Molossidae",7,"tmin",-0.642078597911547,-0.761702370495134,0.25,"Eumops_glaucinus","SP141"
"Eumops perotis","mammal","Chiroptera","Molossidae",11,"tmin",0.270478743354812,0.277380282751502,0.125,"Eumops_perotis","SP142"
"Geomys arenarius","mammal","Rodentia","Geomyidae",10,"tmin",0.314844439433271,0.325913866203777,0.142857142857143,"Geomys_arenarius","SP143"
"Geomys bursarius","mammal","Rodentia","Geomyidae",149,"tmin",-0.0935714208640079,-0.0938459561961482,0.00684931506849315,"Geomys_bursarius","SP144"
"Geomys knoxjonesi","mammal","Rodentia","Geomyidae",15,"tmin",0.0911972123634153,0.0914513085448256,0.0833333333333333,"Geomys_knoxjonesi","SP145"
"Gerbillurus paeba","mammal","Rodentia","Muridae",7,"tmin",0.824220869180234,1.16983999272171,0.25,"Gerbillurus_paeba","SP146"
"Gerbillurus setzeri","mammal","Rodentia","Muridae",9,"tmin",-0.124094233034026,-0.124737175482457,0.166666666666667,"Gerbillurus_setzeri","SP147"
"Glaucomys sabrinus","mammal","Rodentia","Sciuridae",227,"tmin",-0.435450722094273,-0.466603248182433,0.00446428571428571,"Glaucomys_sabrinus","SP148"
"Glaucomys volans","mammal","Rodentia","Sciuridae",19,"tmin",0.168369336083569,0.169987948551726,0.0625,"Glaucomys_volans","SP149"
"Glossophaga commissarisi","mammal","Chiroptera","Phyllostomidae",17,"tmin",-0.0117686724616704,-0.0117692158336832,0.0714285714285714,"Glossophaga_commissarisi","SP150"
"Glossophaga leachii","mammal","Chiroptera","Phyllostomidae",7,"tmin",0.589517612777753,0.6769264193456,0.25,"Glossophaga_leachii","SP151"
"Glossophaga longirostris","mammal","Chiroptera","Phyllostomidae",14,"tmin",0.209161959085359,0.212294804177779,0.0909090909090909,"Glossophaga_longirostris","SP152"
"Glossophaga soricina","mammal","Chiroptera","Phyllostomidae",42,"tmin",-0.0577043649563405,-0.0577685410988446,0.0256410256410256,"Glossophaga_soricina","SP153"
"Grampus griseus","mammal","Cetacea","Delphinidae",7,"tmin",0.279835363710662,0.287503439578037,0.25,"Grampus_griseus","SP154"
"Gulo gulo","mammal","Carnivora","Mustelidae",17,"tmin",0.422521412507001,0.450757427420924,0.0714285714285714,"Gulo_gulo","SP155"
"Habromys lophurus","mammal","Rodentia","Cricetidae",9,"tmin",-0.483238721427762,-0.527201138426389,0.166666666666667,"Habromys_lophurus","SP156"
"Haplonycteris fischeri","mammal","Chiroptera","Pteropodidae",12,"tmin",-0.150746999747881,-0.151904717809698,0.111111111111111,"Haplonycteris_fischeri","SP157"
"Harpyionycteris whiteheadi","mammal","Chiroptera","Pteropodidae",5,"tmin",-0.448502225235377,-0.482823774817697,0.5,"Harpyionycteris_whiteheadi","SP158"
"Hemiechinus auritus","mammal","Erinaceomorpha","Erinaceidae",5,"tmin",-0.243563428509129,-0.248558792485008,0.5,"Hemiechinus_auritus","SP159"
"Heteromys desmarestianus","mammal","Rodentia","Heteromyidae",34,"tmin",0.209652168701026,0.212807496018761,0.032258064516129,"Heteromys_desmarestianus","SP160"
"Heteromys gaumeri","mammal","Rodentia","Heteromyidae",8,"tmin",-0.0186188997034219,-0.0186210516482276,0.2,"Heteromys_gaumeri","SP161"
"Hipposideros ater","mammal","Chiroptera","Hipposideridae",8,"tmin",0.0617704637771001,0.0618492077206173,0.2,"Hipposideros_ater","SP162"
"Hipposideros bicolor","mammal","Chiroptera","Hipposideridae",5,"tmin",-0.94558800945175,-1.78836749239182,0.5,"Hipposideros_bicolor","SP163"
"Hipposideros caffer","mammal","Chiroptera","Hipposideridae",10,"tmin",-0.0855527686886405,-0.0857624182670202,0.142857142857143,"Hipposideros_caffer","SP164"
"Hipposideros cervinus","mammal","Chiroptera","Hipposideridae",8,"tmin",-0.208927500005564,-0.212049631107284,0.2,"Hipposideros_cervinus","SP165"
"Hipposideros diadema","mammal","Chiroptera","Hipposideridae",19,"tmin",0.0627330656750865,0.0628155545611042,0.0625,"Hipposideros_diadema","SP166"
"Hipposideros larvatus","mammal","Chiroptera","Hipposideridae",5,"tmin",0.202108482323693,0.204929858546355,0.5,"Hipposideros_larvatus","SP167"
"Hipposideros obscurus","mammal","Chiroptera","Hipposideridae",6,"tmin",0.219350609171174,0.222973791399276,0.333333333333333,"Hipposideros_obscurus","SP168"
"Histriophoca fasciata","mammal","Carnivora","Phocidae",5,"tmin",-0.241190955309433,-0.24603824388764,0.5,"Histriophoca_fasciata","SP169"
"Hydromys chrysogaster","mammal","Rodentia","Muridae",5,"tmin",-0.44013318266705,-0.472395973501813,0.5,"Hydromys_chrysogaster","SP170"
"Hylonycteris underwoodi","mammal","Chiroptera","Phyllostomidae",5,"tmin",-0.237195631362761,-0.241800454459932,0.5,"Hylonycteris_underwoodi","SP171"
"Irenomys tarsalis","mammal","Rodentia","Cricetidae",5,"tmin",0.118908886172789,0.1194741195801,0.5,"Irenomys_tarsalis","SP172"
"Jaculus jaculus","mammal","Rodentia","Dipodidae",6,"tmin",0.276472268216922,0.28385831810517,0.333333333333333,"Jaculus_jaculus","SP173"
"Kerivoula hardwickii","mammal","Chiroptera","Vespertilionidae",7,"tmin",-0.366487001543373,-0.384358987533525,0.25,"Kerivoula_hardwickii","SP174"
"Lagenorhynchus obliquidens","mammal","Cetacea","Delphinidae",10,"tmin",-0.362119714534807,-0.379323376789794,0.142857142857143,"Lagenorhynchus_obliquidens","SP175"
"Lasionycteris noctivagans","mammal","Chiroptera","Vespertilionidae",93,"tmin",0.0689576442826906,0.0690672586613821,0.0111111111111111,"Lasionycteris_noctivagans","SP176"
"Lasiurus blossevillii","mammal","Chiroptera","Vespertilionidae",18,"tmin",-0.148594468608449,-0.149702861229227,0.0666666666666667,"Lasiurus_blossevillii","SP177"
"Lasiurus borealis","mammal","Chiroptera","Vespertilionidae",33,"tmin",-0.399157455669773,-0.422646303158527,0.0333333333333333,"Lasiurus_borealis","SP178"
"Lasiurus cinereus","mammal","Chiroptera","Vespertilionidae",70,"tmin",-0.282835661843597,-0.290761625324492,0.0149253731343284,"Lasiurus_cinereus","SP179"
"Lasiurus ega","mammal","Chiroptera","Vespertilionidae",35,"tmin",0.0948946339494293,0.0951810247094474,0.03125,"Lasiurus_ega","SP180"
"Lemmiscus curtatus","mammal","Rodentia","Cricetidae",33,"tmin",-0.0193609508412721,-0.019363370513186,0.0333333333333333,"Lemmiscus_curtatus","SP181"
"Lemmus sibiricus","mammal","Rodentia","Cricetidae",16,"tmin",-0.266269325314777,-0.272844142118058,0.0769230769230769,"Lemmus_sibiricus","SP182"
"Lemmus trimucronatus","mammal","Rodentia","Cricetidae",111,"tmin",-0.304742458176088,-0.314739304762833,0.00925925925925926,"Lemmus_trimucronatus","SP183"
"Lemniscomys striatus","mammal","Rodentia","Muridae",8,"tmin",-0.154825982472787,-0.156081201511113,0.2,"Lemniscomys_striatus","SP184"
"Leptonycteris yerbabuenae","mammal","Chiroptera","Phyllostomidae",13,"tmin",0.355598653554097,0.37183835286393,0.1,"Leptonycteris_yerbabuenae","SP185"
"Lepus alleni","mammal","Lagomorpha","Leporidae",5,"tmin",-0.62389429987382,-0.731356105539075,0.5,"Lepus_alleni","SP186"
"Lepus americanus","mammal","Lagomorpha","Leporidae",88,"tmin",-0.365921204167706,-0.383705562239885,0.0117647058823529,"Lepus_americanus","SP187"
"Lepus arcticus","mammal","Lagomorpha","Leporidae",6,"tmin",-0.13601330045174,-0.136861466356247,0.333333333333333,"Lepus_arcticus","SP188"
"Lepus californicus","mammal","Lagomorpha","Leporidae",30,"tmin",0.236554924678849,0.241121660699041,0.037037037037037,"Lepus_californicus","SP189"
"Lepus othus","mammal","Lagomorpha","Leporidae",30,"tmin",-0.547886282001082,-0.615355926764659,0.037037037037037,"Lepus_othus","SP190"
"Lepus tolai","mammal","Lagomorpha","Leporidae",5,"tmin",0.4,0.423648930193602,0.5,"Lepus_tolai","SP191"
"Lepus townsendii","mammal","Lagomorpha","Leporidae",11,"tmin",-0.0636363636363636,-0.0637224732840602,0.125,"Lepus_townsendii","SP192"
"Liomys adspersus","mammal","Rodentia","Heteromyidae",13,"tmin",0.0385827494677086,0.0386019117134509,0.1,"Liomys_adspersus","SP193"
"Liomys irroratus","mammal","Rodentia","Heteromyidae",8,"tmin",-0.519285957491863,-0.575361575780752,0.2,"Liomys_irroratus","SP194"
"Liomys pictus","mammal","Rodentia","Heteromyidae",16,"tmin",-0.212085592841675,-0.215354160845698,0.0769230769230769,"Liomys_pictus","SP195"
"Liomys salvini","mammal","Rodentia","Heteromyidae",5,"tmin",0.111952439050792,0.112423701036335,0.5,"Liomys_salvini","SP196"
"Lissodelphis borealis","mammal","Cetacea","Delphinidae",6,"tmin",0.61162108520981,0.711507194523712,0.333333333333333,"Lissodelphis_borealis","SP197"
"Lonchophylla thomasi","mammal","Chiroptera","Phyllostomidae",8,"tmin",-0.134319451927789,-0.135136094940862,0.2,"Lonchophylla_thomasi","SP198"
"Lontra canadensis","mammal","Carnivora","Mustelidae",63,"tmin",-0.0250257592993498,-0.0250309857129261,0.0166666666666667,"Lontra_canadensis","SP199"
"Lophostoma silvicolum","mammal","Chiroptera","Phyllostomidae",12,"tmin",0.751699265629116,0.976850477309667,0.111111111111111,"Lophostoma_silvicolum","SP200"
"Loxodontomys micropus","mammal","Rodentia","Cricetidae",12,"tmin",0.0707205342169477,0.070838789703228,0.111111111111111,"Loxodontomys_micropus","SP201"
"Lynx canadensis","mammal","Carnivora","Felidae",11,"tmin",-0.1964103003025,-0.19899606048612,0.125,"Lynx_canadensis","SP202"
"Lynx rufus","mammal","Carnivora","Felidae",47,"tmin",-0.0797489179527723,-0.0799186308177696,0.0227272727272727,"Lynx_rufus","SP203"
"Macroglossus minimus","mammal","Chiroptera","Pteropodidae",24,"tmin",0.120588036240756,0.1211776988774,0.0476190476190476,"Macroglossus_minimus","SP204"
"Macrotus californicus","mammal","Chiroptera","Phyllostomidae",10,"tmin",0.612419936497617,0.712784476355716,0.142857142857143,"Macrotus_californicus","SP205"
"Macrotus waterhousii","mammal","Chiroptera","Phyllostomidae",5,"tmin",0.4,0.423648930193602,0.5,"Macrotus_waterhousii","SP206"
"Marmosa mexicana","mammal","Didelphimorphia","Didelphidae",8,"tmin",0.112873508814401,0.113356559094973,0.2,"Marmosa_mexicana","SP207"
"Marmosops noctivagus","mammal","Didelphimorphia","Didelphidae",5,"tmin",0.293765904684912,0.302682894057571,0.5,"Marmosops_noctivagus","SP208"
"Marmota broweri","mammal","Rodentia","Sciuridae",13,"tmin",0.475827379701856,0.517576494389065,0.1,"Marmota_broweri","SP209"
"Marmota caligata","mammal","Rodentia","Sciuridae",61,"tmin",-0.0333733560139641,-0.0333857545026118,0.0172413793103448,"Marmota_caligata","SP210"
"Marmota flaviventris","mammal","Rodentia","Sciuridae",28,"tmin",-0.479465854075185,-0.522290452070851,0.04,"Marmota_flaviventris","SP211"
"Marmota monax","mammal","Rodentia","Sciuridae",28,"tmin",0.300420403144283,0.309981649750167,0.04,"Marmota_monax","SP212"
"Martes americana","mammal","Carnivora","Mustelidae",139,"tmin",0.36200879129721,0.379195718799205,0.00735294117647059,"Martes_americana","SP213"
"Martes pennanti","mammal","Carnivora","Mustelidae",21,"tmin",-0.661204141486999,-0.794950133053687,0.0555555555555556,"Martes_pennanti","SP214"
"Mastomys natalensis","mammal","Rodentia","Muridae",20,"tmin",0.493960469938041,0.541285558621542,0.0588235294117647,"Mastomys_natalensis","SP215"
"Megaderma spasma","mammal","Chiroptera","Megadermatidae",11,"tmin",-0.432848267914258,-0.463396332492857,0.125,"Megaderma_spasma","SP216"
"Megaerops wetmorei","mammal","Chiroptera","Pteropodidae",5,"tmin",-0.572094465608704,-0.650630803314112,0.5,"Megaerops_wetmorei","SP217"
"Melanomys caliginosus","mammal","Rodentia","Cricetidae",9,"tmin",-0.528009857987962,-0.587381660734362,0.166666666666667,"Melanomys_caliginosus","SP218"
"Melomys rufescens","mammal","Rodentia","Muridae",5,"tmin",0.655679980287678,0.785197776434182,0.5,"Melomys_rufescens","SP219"
"Mephitis mephitis","mammal","Carnivora","Mephitidae",16,"tmin",0.3119563397773,0.322711197897836,0.0769230769230769,"Mephitis_mephitis","SP220"
"Meriones meridianus","mammal","Rodentia","Muridae",23,"tmin",0.120922572216917,0.121517185193242,0.05,"Meriones_meridianus","SP221"
"Meriones tamariscinus","mammal","Rodentia","Muridae",5,"tmin",-0.695217540913295,-0.85798404053634,0.5,"Meriones_tamariscinus","SP222"
"Meriones unguiculatus","mammal","Rodentia","Muridae",20,"tmin",0.259511862395731,0.265584949973274,0.0588235294117647,"Meriones_unguiculatus","SP223"
"Mesophylla macconnelli","mammal","Chiroptera","Phyllostomidae",7,"tmin",0.235087262849621,0.239567573254022,0.25,"Mesophylla_macconnelli","SP224"
"Metachirus nudicaudatus","mammal","Didelphimorphia","Didelphidae",8,"tmin",0.391963817011515,0.414118227670335,0.2,"Metachirus_nudicaudatus","SP225"
"Micaelamys namaquensis","mammal","Rodentia","Muridae",22,"tmin",0.00687100723022935,0.0068711153617385,0.0526315789473684,"Micaelamys_namaquensis","SP226"
"Microdipodops megacephalus","mammal","Rodentia","Heteromyidae",53,"tmin",0.0713096169556736,0.0714308583450416,0.02,"Microdipodops_megacephalus","SP227"
"Microdipodops pallidus","mammal","Rodentia","Heteromyidae",31,"tmin",-0.401741425184818,-0.425723778957075,0.0357142857142857,"Microdipodops_pallidus","SP228"
"Micronycteris megalotis","mammal","Chiroptera","Phyllostomidae",16,"tmin",0.167943637966464,0.169549862851309,0.0769230769230769,"Micronycteris_megalotis","SP229"
"Micronycteris minuta","mammal","Chiroptera","Phyllostomidae",6,"tmin",0.389392379129943,0.411083616029817,0.333333333333333,"Micronycteris_minuta","SP230"
"Microtus agrestis","mammal","Rodentia","Cricetidae",6,"tmin",-0.833335387726248,-1.19895435990458,0.333333333333333,"Microtus_agrestis","SP231"
"Microtus californicus","mammal","Rodentia","Cricetidae",132,"tmin",-0.356973658349738,-0.373413278885456,0.00775193798449612,"Microtus_californicus","SP232"
"Microtus canicaudus","mammal","Rodentia","Cricetidae",5,"tmin",0.310117491100326,0.320675396950391,0.5,"Microtus_canicaudus","SP233"
"Microtus chrotorrhinus","mammal","Rodentia","Cricetidae",6,"tmin",0.0371420768045283,0.0371591705399027,0.333333333333333,"Microtus_chrotorrhinus","SP234"
"Microtus gregalis","mammal","Rodentia","Cricetidae",30,"tmin",-0.0547899263581883,-0.0548448506043024,0.037037037037037,"Microtus_gregalis","SP235"
"Microtus ilaeus","mammal","Rodentia","Cricetidae",5,"tmin",-0.474491180424269,-0.51585063672622,0.5,"Microtus_ilaeus","SP236"
"Microtus longicaudus","mammal","Rodentia","Cricetidae",508,"tmin",0.125096999037448,0.12575575405923,0.00198019801980198,"Microtus_longicaudus","SP237"
"Microtus mexicanus","mammal","Rodentia","Cricetidae",24,"tmin",0.15422735288951,0.155467927858315,0.0476190476190476,"Microtus_mexicanus","SP238"
"Microtus miurus","mammal","Rodentia","Cricetidae",93,"tmin",0.0377784288312288,0.0377964168171566,0.0111111111111111,"Microtus_miurus","SP239"
"Microtus montanus","mammal","Rodentia","Cricetidae",195,"tmin",0.0629775036214002,0.0630609620613739,0.00520833333333333,"Microtus_montanus","SP240"
"Microtus ochrogaster","mammal","Rodentia","Cricetidae",80,"tmin",-0.103147125342278,-0.103515283807758,0.012987012987013,"Microtus_ochrogaster","SP241"
"Microtus oeconomus","mammal","Rodentia","Cricetidae",452,"tmin",0.140986848150636,0.141932295339249,0.0022271714922049,"Microtus_oeconomus","SP242"
"Microtus oregoni","mammal","Rodentia","Cricetidae",99,"tmin",0.0731363093358163,0.0732671295241739,0.0104166666666667,"Microtus_oregoni","SP243"
"Microtus pennsylvanicus","mammal","Rodentia","Cricetidae",379,"tmin",0.338307377103562,0.35217990541945,0.00265957446808511,"Microtus_pennsylvanicus","SP244"
"Microtus pinetorum","mammal","Rodentia","Cricetidae",20,"tmin",-0.131620596651437,-0.132388660411713,0.0588235294117647,"Microtus_pinetorum","SP245"
"Microtus richardsoni","mammal","Rodentia","Cricetidae",35,"tmin",0.0713128543387228,0.0714341122752774,0.03125,"Microtus_richardsoni","SP246"
"Microtus townsendii","mammal","Rodentia","Cricetidae",40,"tmin",-0.112055477431092,-0.112528048443124,0.027027027027027,"Microtus_townsendii","SP247"
"Microtus xanthognathus","mammal","Rodentia","Cricetidae",59,"tmin",0.200108183678493,0.202845247926247,0.0178571428571429,"Microtus_xanthognathus","SP248"
"Mimon crenulatum","mammal","Chiroptera","Phyllostomidae",8,"tmin",-0.0692305683398267,-0.0693414919085484,0.2,"Mimon_crenulatum","SP249"
"Miniopterus australis","mammal","Chiroptera","Miniopteridae",12,"tmin",-0.255012810297002,-0.260767017859784,0.111111111111111,"Miniopterus_australis","SP250"
"Miniopterus schreibersii","mammal","Chiroptera","Miniopteridae",17,"tmin",-0.537679267349216,-0.60088535639944,0.0714285714285714,"Miniopterus_schreibersii","SP251"
"Molossops temminckii","mammal","Chiroptera","Molossidae",23,"tmin",-0.594636676559291,-0.684808720203666,0.05,"Molossops_temminckii","SP252"
"Molossus molossus","mammal","Chiroptera","Molossidae",60,"tmin",-0.445596425984999,-0.47919218622192,0.0175438596491228,"Molossus_molossus","SP253"
"Molossus rufus","mammal","Chiroptera","Molossidae",14,"tmin",-0.155498785892987,-0.156770602541647,0.0909090909090909,"Molossus_rufus","SP254"
"Molossus sinaloae","mammal","Chiroptera","Molossidae",5,"tmin",-0.205195670417031,-0.208150628390742,0.5,"Molossus_sinaloae","SP255"
"Monophyllus plethodon","mammal","Chiroptera","Phyllostomidae",18,"tmin",0.617280836374596,0.720600027966026,0.0666666666666667,"Monophyllus_plethodon","SP256"
"Mops condylurus","mammal","Chiroptera","Molossidae",5,"tmin",-0.701180696593469,-0.869619381053438,0.5,"Mops_condylurus","SP257"
"Mormoops megalophylla","mammal","Chiroptera","Mormoopidae",7,"tmin",-0.0356362486288707,-0.0356513454593245,0.25,"Mormoops_megalophylla","SP258"
"Murexechinus melanurus","mammal","Dasyuromorphia","Dasyuridae",5,"tmin",0.678862737772708,0.827001630725194,0.5,"Murexechinus_melanurus","SP259"
"Mus minutoides","mammal","Rodentia","Muridae",8,"tmin",9.48763891879144e-05,9.48763894726585e-05,0.2,"Mus_minutoides","SP260"
"Mus musculus","mammal","Rodentia","Muridae",291,"tmin",-0.3093941683661,-0.319875306553796,0.00347222222222222,"Mus_musculus","SP261"
"Mus triton","mammal","Rodentia","Muridae",7,"tmin",0.239497111829773,0.244240555972908,0.25,"Mus_triton","SP262"
"Mustela erminea","mammal","Carnivora","Mustelidae",261,"tmin",-0.36012994265436,-0.37703519994672,0.00387596899224806,"Mustela_erminea","SP263"
"Mustela frenata","mammal","Carnivora","Mustelidae",84,"tmin",0.0639937620465343,0.0640813331053006,0.0123456790123457,"Mustela_frenata","SP264"
"Mustela nivalis","mammal","Carnivora","Mustelidae",47,"tmin",0.381217325993253,0.401483195316266,0.0227272727272727,"Mustela_nivalis","SP265"
"Myocastor coypus","mammal","Rodentia","Myocastoridae",7,"tmin",-0.195191218955502,-0.197728378650126,0.25,"Myocastor_coypus","SP266"
"Myodes californicus","mammal","Rodentia","Cricetidae",61,"tmin",0.557820796019614,0.629663979612848,0.0172413793103448,"Myodes_californicus","SP267"
"Myodes gapperi","mammal","Rodentia","Cricetidae",380,"tmin",0.0321496312611791,0.0321607147421743,0.0026525198938992,"Myodes_gapperi","SP268"
"Myodes glareolus","mammal","Rodentia","Cricetidae",27,"tmin",-0.208010834036987,-0.211091317323487,0.0416666666666667,"Myodes_glareolus","SP269"
"Myodes rufocanus","mammal","Rodentia","Cricetidae",53,"tmin",0.404493878988142,0.429010310436002,0.02,"Myodes_rufocanus","SP270"
"Myodes rutilus","mammal","Rodentia","Cricetidae",736,"tmin",0.0706543212463981,0.0707722442240301,0.00136425648021828,"Myodes_rutilus","SP271"
"Myopus schisticolor","mammal","Rodentia","Cricetidae",18,"tmin",-0.0343402308479298,-0.0343537389959813,0.0666666666666667,"Myopus_schisticolor","SP272"
"Myotis adversus","mammal","Chiroptera","Vespertilionidae",5,"tmin",0.0314835901187299,0.0314939986604783,0.5,"Myotis_adversus","SP273"
"Myotis albescens","mammal","Chiroptera","Vespertilionidae",17,"tmin",-0.464656910788593,-0.503234236916046,0.0714285714285714,"Myotis_albescens","SP274"
"Myotis auriculus","mammal","Chiroptera","Vespertilionidae",21,"tmin",0.0719881885375926,0.0721129314203204,0.0555555555555556,"Myotis_auriculus","SP275"
"Myotis californicus","mammal","Chiroptera","Vespertilionidae",111,"tmin",-0.343238458479622,-0.357758867618029,0.00925925925925926,"Myotis_californicus","SP276"
"Myotis ciliolabrum","mammal","Chiroptera","Vespertilionidae",40,"tmin",-0.146013577122477,-0.147064724607003,0.027027027027027,"Myotis_ciliolabrum","SP277"
"Myotis evotis","mammal","Chiroptera","Vespertilionidae",56,"tmin",-0.219443780695337,-0.223071674541202,0.0188679245283019,"Myotis_evotis","SP278"
"Myotis keaysi","mammal","Chiroptera","Vespertilionidae",7,"tmin",0.00928352837106021,0.00928379508174256,0.25,"Myotis_keaysi","SP279"
"Myotis keenii","mammal","Chiroptera","Vespertilionidae",24,"tmin",-0.402404314480768,-0.426514497993864,0.0476190476190476,"Myotis_keenii","SP280"
"Myotis leibii","mammal","Chiroptera","Vespertilionidae",12,"tmin",-0.454759523646664,-0.490684475870735,0.111111111111111,"Myotis_leibii","SP281"
"Myotis lucifugus","mammal","Chiroptera","Vespertilionidae",181,"tmin",-0.267397616673302,-0.274058926409512,0.00561797752808989,"Myotis_lucifugus","SP282"
"Myotis muricola","mammal","Chiroptera","Vespertilionidae",5,"tmin",0.783262411658795,1.05375621490087,0.5,"Myotis_muricola","SP283"
"Myotis myotis","mammal","Chiroptera","Vespertilionidae",7,"tmin",-0.847651482957946,-1.24774993572371,0.25,"Myotis_myotis","SP284"
"Myotis nigricans","mammal","Chiroptera","Vespertilionidae",39,"tmin",-0.0990865205459152,-0.0994127260808872,0.0277777777777778,"Myotis_nigricans","SP285"
"Myotis occultus","mammal","Chiroptera","Vespertilionidae",21,"tmin",-0.303018892237374,-0.312840385366344,0.0555555555555556,"Myotis_occultus","SP286"
"Myotis riparius","mammal","Chiroptera","Vespertilionidae",10,"tmin",0.501987605882715,0.551959808023415,0.142857142857143,"Myotis_riparius","SP287"
"Myotis thysanodes","mammal","Chiroptera","Vespertilionidae",30,"tmin",-0.0406404859134293,-0.040662882719885,0.037037037037037,"Myotis_thysanodes","SP288"
"Myotis velifer","mammal","Chiroptera","Vespertilionidae",31,"tmin",-0.418312941592631,-0.445645386096364,0.0357142857142857,"Myotis_velifer","SP289"
"Myotis volans","mammal","Chiroptera","Vespertilionidae",63,"tmin",-0.199517955994032,-0.202230475260688,0.0166666666666667,"Myotis_volans","SP290"
"Myotis yumanensis","mammal","Chiroptera","Vespertilionidae",88,"tmin",-0.127003149287841,-0.127692680016794,0.0117647058823529,"Myotis_yumanensis","SP291"
"Napaeozapus insignis","mammal","Rodentia","Dipodidae",27,"tmin",-0.219034298318631,-0.222641516274806,0.0416666666666667,"Napaeozapus_insignis","SP292"
"Natalus stramineus","mammal","Chiroptera","Natalidae",8,"tmin",-0.0761298720738116,-0.0762774624104863,0.2,"Natalus_stramineus","SP293"
"Neacomys spinosus","mammal","Rodentia","Cricetidae",6,"tmin",0.814075274029453,1.13899461662708,0.333333333333333,"Neacomys_spinosus","SP294"
"Necromys lasiurus","mammal","Rodentia","Cricetidae",9,"tmin",-0.236681445066636,-0.241255684853582,0.166666666666667,"Necromys_lasiurus","SP295"
"Neoromicia capensis","mammal","Chiroptera","Vespertilionidae",14,"tmin",-0.281358427662413,-0.289156670460399,0.0909090909090909,"Neoromicia_capensis","SP296"
"Neoromicia nanus","mammal","Chiroptera","Vespertilionidae",9,"tmin",0.346032621732529,0.360929638039838,0.166666666666667,"Neoromicia_nanus","SP297"
"Neotetracus sinensis","mammal","Insectivora","Erinaceidae",5,"tmin",0.879020140815103,1.37144081976628,0.5,"Neotetracus_sinensis","SP298"
"Neotoma albigula","mammal","Rodentia","Cricetidae",205,"tmin",0.0472018831765816,0.0472369856588335,0.00495049504950495,"Neotoma_albigula","SP299"
