"","animal","Class","order","family","Loc","Long","devel","fem","mass","embri","Numcl","Sizecl","Lat","Mig_bi","Mig_multi"
"738","Strix_aluco","Bird","Strigiformes","Strigidae","F",21.4999999971272,31.2000000057584,364.233999914238,496.499999759084,29.700000005683,1,3.09999999847759,49.50890883,0,0
"739","Strix_fulvescens","Bird","Strigiformes","Strigidae","F",18.199999998494,41.9999999880985,729.999999896021,716.499999807816,27.9999999950943,1,2.84999999920041,15.12172785,0,0
"740","Strix_nebulosa","Bird","Strigiformes","Strigidae","F",15.817000000295,63.7499999975433,545.968000017046,1078.74999957105,29.4999999897997,1,3.99999999952044,58.77823322,0,0
"741","Strix_occidentalis","Bird","Strigiformes","Strigidae","F",25.000000003295,34.9999999828705,730.375000091588,609.500000047952,30.0000000101353,1,2.00000000088011,35.10796644,0,0
"742","Strix_uralensis","Bird","Strigiformes","Strigidae","F",23.8166666736267,39.9999999954425,364.233999914238,783.000000007201,27.9999999950943,1,2.90000000002196,57.05559952,0,0
"743","Strix_varia","Bird","Strigiformes","Strigidae","F",18.199999998494,41.9999999880985,729.999999896021,716.499999807816,27.9999999950943,1,2.50000000031461,43.78199052,0,0
"744","Surnia_ulula","Bird","Strigiformes","Strigidae","F",10.0000000000595,30.0000000101353,363.46799996872,308.499999893431,27.2499999970229,1,6.99999999961281,57.62125263,0,0
"745","Tyto_alba","Bird","Strigiformes","Tytonidae","F",15.4166666776075,54.0000000235292,365.000000152391,381.600000162511,31.9000000066735,1.75000000011301,5.15000000167043,3.1932857,0,0
"746","Tyto_glaucops","Bird","Strigiformes","Tytonidae","F",15.4166666776075,54.0000000235292,365.000000152391,381.600000162511,31.9000000066735,1.75000000011301,5.15000000167043,18.81999947,0,0
"747","Fregata_andrewsi","Bird","Suliformes","Fregatidae","F",25.5999999875708,169.999999991455,2191.5000003093,1512.50000014369,47.0000000136272,0.499999999779973,1,-10.43369939,0,0
"748","Fregata_magnificens","Bird","Suliformes","Fregatidae","F",12.2500000001135,177.999999948009,1825.99999971713,1461.99999954718,53.0000000237375,0.750000000338836,1,-13.64891656,0,0
"749","Fregata_minor","Bird","Suliformes","Fregatidae","F",36.0850000171679,175.000000013385,2185.13799906028,1400.00000055531,55.5000000137424,0.750000000338836,1,-1.37577291,0,0
"750","Phalacrocorax_aristotelis","Bird","Suliformes","Phalacrocoracidae","F",26.7498333388703,53.0000000237375,912.750000423748,1786.74999982117,30.5000000117923,1,3.07000000123075,53.60268492,0,0
"751","Morus_capensis","Bird","Suliformes","Sulidae","F",8.00000000256131,97.0000000481718,1272.13800053248,2652.75000065337,44.0000000035965,1,1,-33.30043763,0,0
"752","Sula_dactylatra","Bird","Suliformes","Sulidae","F",25.2500000070354,120.000000026155,1461.00000036423,1901.99999979965,43.2499999836563,1,2.00000000088011,-1.46876252,0,0
"753","Sula_granti","Bird","Suliformes","Sulidae","F",25.2500000070354,120.000000026155,1461.00000036423,1880.99999943376,43.2499999836563,1,2.00000000088011,7.30815971,0,0
"754","Sula_leucogaster","Bird","Suliformes","Sulidae","F",25.3833333416321,98.000000032284,1184.20199999982,1209.04999969459,41.9999999880985,1.12500000038657,2.00000000088011,-7.81737857,0,0
"755","Sula_nebouxii","Bird","Suliformes","Sulidae","F",17.6666666687158,101.999999971004,1090.40400026805,1541.99999980991,41.0000000121234,1.24999999960724,2.00000000088011,8.3175602,0,0
"756","Sula_sula","Bird","Suliformes","Sulidae","F",22.9583333378109,100.750000017451,729.999999896021,1016.99999995061,44.2499999799132,1,1,-2.02320104,0,0
"757","Antilocapra_americana","Mammal","Artiodactyla","Antilocapridae","W",12.000000002544,91.0000000439667,540.839999734687,45374.9999288905,247.444680031179,1,1.88999999986477,40.97086107,1,NA
"758","Addax_nasomaculatus","Mammal","Artiodactyla","Bovidae","W",25.6850000020745,198.000000060482,947.494859867581,94288.6800944711,276.000000078067,1,1,18.24795327,0,NA
"759","Aepyceros_melampus","Mammal","Artiodactyla","Bovidae","W",17.7500000013947,166.999999930402,477.48500008843,52500.0000745649,196.739999983353,1,1,-13.33543842,0,NA
"760","Alcelaphus_buselaphus","Mammal","Artiodactyla","Bovidae","W",20.0000000089202,193.000000018357,729.999999896021,158999.999808823,242.660000091307,1.06499999982812,1,-4.63661332,0,NA
"761","Ammotragus_lervia","Mammal","Artiodactyla","Bovidae","W",21.0000000058081,121.87200004504,394.096019925,92499.9996762022,151.807440057961,2.00000000088011,1.2200000003109,25.5289767,1,NA
"762","Antidorcas_marsupialis","Mammal","Artiodactyla","Bovidae","W",19.7958333364031,122.961439964669,213.079999989602,33571.2400995746,169.489999994922,1.0499999998221,1,-24.99609585,0,NA
"763","Bison_bison","Mammal","Artiodactyla","Bovidae","W",26.9999999998831,273.159999974627,911.99999993221,624577.068962032,273.999999893669,1,1,59.32950311,1,NA
"764","Bison_bonasus","Mammal","Artiodactyla","Bovidae","W",26.9999999998831,273.159999974627,911.99999993221,624577.068962032,273.999999893669,1,1,52.26571801,0,NA
"765","Bos_javanicus","Mammal","Artiodactyla","Bovidae","W",27.0333333210803,296.570999957674,753.667719833772,683333.331661572,295.890000108292,1,1.2200000003109,11.6710772,0,NA
"766","Budorcas_taxicolor","Mammal","Artiodactyla","Bovidae","W",19.5833333263586,118.550000057922,913.08000002152,294515.331458331,235.600000052437,1,1.17000000022269,29.42062636,1,NA
"767","Capra_sibirica","Mammal","Artiodactyla","Bovidae","W",20.900000000611,228.270000032747,797.000000167199,82499.9998083712,170.450000070922,0.800000000251368,1.17999999943646,43.3395631,1,NA
"768","Capricornis_crispus","Mammal","Artiodactyla","Bovidae","W",19.7916666728675,59.270000011869,1041.6149997164,43030.6400401813,214.999999972553,0.83000000015894,1,37.09021323,0,NA
"769","Connochaetes_taurinus","Mammal","Artiodactyla","Bovidae","W",22.9000000100716,256.32000003076,515.947200173075,180500.000585709,253.000000068937,1,1,-19.36011515,1,NA
"770","Eudorcas_thomsonii","Mammal","Artiodactyla","Bovidae","W",14.8350000038158,101.980299961659,365.000000152391,23197.6699634315,170.745960025803,1.49999999983775,1,-2.68840666,0,NA
"771","Gazella_dorcas","Mammal","Artiodactyla","Bovidae","W",20.7750000053701,117.939499985896,498.970000147823,47386.4698152603,155.999999961072,1,1.2200000003109,23.36732193,0,NA
"772","Gazella_gazella","Mammal","Artiodactyla","Bovidae","W",19.5041666674843,121.743999947143,475.999999889844,35318.2349370685,169.437959979572,1.24500000010374,1.47500000030712,32.11861343,0,NA
"773","Gazella_subgutturosa","Mammal","Artiodactyla","Bovidae","W",16.3000000030527,106.262999972245,604.532999918052,37740.6850278802,169.220660044514,1,1.38999999980179,39.84515935,0,NA
"774","Hemitragus_jemlahicus","Mammal","Artiodactyla","Bovidae","W",21.8000000044681,151.133460072996,638.731999947809,35199.9999441662,183.00000002902,1,1.00500000049141,29.39746906,1,NA
"775","Kobus_ellipsiprymnus","Mammal","Artiodactyla","Bovidae","W",19.3099999914954,213.000000061892,771.124119738333,175332.999665246,270.000000000439,1.10000000021524,1.0499999998221,-0.95954433,0,NA
"776","Kobus_kob","Mammal","Artiodactyla","Bovidae","W",21.9000000038882,188.999999988728,403.000000021487,92517.6050263246,254.760000126574,1.29999999939226,1,8.36047884,0,NA
"777","Litocranius_walleri","Mammal","Artiodactyla","Bovidae","W",12.999999994,240.999999881752,360.057879890336,41333.3301953455,204.150000047856,1.34999999939204,1,4.5222283,0,NA
"778","Madoqua_guentheri","Mammal","Artiodactyla","Bovidae","W",15.3083333267036,83.6990000006063,138.600000033846,4550.00000025026,177.746239972554,2.00000000088011,1,4.18590289,0,NA
"779","Madoqua_kirkii","Mammal","Artiodactyla","Bovidae","W",16.8583333268311,70.9999999970666,233.469999953925,4833.40000121376,172.000000032086,2.00000000088011,1,-8.1618125,0,NA
"780","Naemorhedus_baileyi","Mammal","Artiodactyla","Bovidae","W",17.5999999992237,59.270000011869,949.603199876824,28829.9800890734,213.955000099275,1,1,29.08370305,0,NA
"781","Naemorhedus_caudatus","Mammal","Artiodactyla","Bovidae","W",17.57500000533,59.270000011869,949.603199876824,27666.6700389396,214.999999972553,1,1,42.56396766,0,NA
"782","Naemorhedus_goral","Mammal","Artiodactyla","Bovidae","W",17.57500000533,59.270000011869,949.603199876824,28796.5100510987,214.999999972553,1,1,29.00425331,0,NA
"783","Naemorhedus_griseus","Mammal","Artiodactyla","Bovidae","W",17.57500000533,59.270000011869,949.603199876824,27666.6700389396,214.999999972553,1,1,28.4567513,0,NA
"784","Oreamnos_americanus","Mammal","Artiodactyla","Bovidae","W",19.1683333357019,103.429999959692,912.387820079401,77227.7000041145,182.619999965632,1,1.32000000053027,54.91028416,0,NA
"785","Oreotragus_oreotragus","Mammal","Artiodactyla","Bovidae","W",17.8316666680493,136.961999987598,365.231999962645,12999.9999942322,206.660440023791,1.0499999998221,1,-10.64020434,0,NA
"786","Oryx_gazella","Mammal","Artiodactyla","Bovidae","W",20.7500000067083,59.9999999866739,612.676680020845,37499.9999265562,167.999999932253,1.88999999986477,1,-24.1603278,0,NA
"787","Oryx_leucoryx","Mammal","Artiodactyla","Bovidae","W",20.7125000051226,62.4143400208497,730.774359963584,121349.999859871,242.999999917247,1.32999999968923,1,20.82459065,0,NA
"788","Ovibos_moschatus","Mammal","Artiodactyla","Bovidae","W",23.9999999916493,213.000000061892,1136.17587972644,312500.00057544,258.000000020223,0.800000000251368,1.0100000001483,73.35619128,1,NA
