tax_id,Species
22680348,Netta rufina
22680351,Netta peposaca
22680351,Netta peposaca
22680354,Netta erythrophthalma
22680358,Aythya ferina
22680364,Aythya valisineria
22680367,Aythya americana
22680370,Aythya collaris
22680373,Aythya nyroca
22680380,Aythya innotata
22680384,Aythya baeri
22680387,Aythya australis
22680391,Aythya fuligula
22680395,Aythya novaeseelandiae
22680398,Aythya marila
22680402,Aythya affinis
22680405,Somateria mollissima
22680409,Somateria spectabilis
22680412,Somateria fischeri
22680415,Polysticta stelleri
22680423,Histrionicus histrionicus
22680427,Clangula hyemalis
22680441,Melanitta perspicillata
22680455,Bucephala clangula
22680459,Bucephala islandica
22680462,Bucephala albeola
22680465,Mergellus albellus
22680472,Lophodytes cucullatus
22680482,Mergus octosetaceus
22680485,Mergus serrator
22680488,Mergus squamatus
22680492,Mergus merganser
22680500,Turnix sylvaticus
22680512,Turnix maculosus
22680539,Turnix tanki
22680542,Turnix ocellatus
22680549,Turnix suscitator
22680552,Turnix nigricollis
22680556,Turnix melanogaster
22680560,Turnix castanotus
22680572,Turnix olivii
22680588,Turnix worcesteri
22680592,Turnix everetti
22680595,Turnix pyrrhothorax
22680599,Turnix velox
22680603,Ortyxelos meiffrenii
22680608,Indicator maculatus
22680612,Indicator variegatus
22680616,Indicator indicator
22680620,Indicator archipelagicus
22680623,Indicator minor
22680634,Indicator willcocksi
22680638,Indicator exilis
22680643,Indicator pumilio
22680647,Indicator meliphilus
22680652,Indicator xanthonotus
22680655,Melichneutes robustus
22680659,Melignomon eisentrauti
22680663,Melignomon zenkeri
22680667,Prodotiscus insignis
22680672,Prodotiscus zambesiae
22680677,Prodotiscus regulus
22680683,Jynx torquilla
22680689,Jynx ruficollis
22680694,Picumnus innominatus
22680697,Picumnus aurifrons
22680700,Picumnus pumilus
22680706,Picumnus lafresnayi
22680714,Picumnus fuscus
22680717,Picumnus sclateri
22680720,Picumnus squamulatus
22680723,Picumnus spilogaster
22680726,Picumnus minutissimus
22680730,Picumnus pygmaeus
22680733,Picumnus steindachneri
22680736,Picumnus varzeae
22680739,Picumnus cirratus
22680742,Picumnus dorbignyanus
22680750,Picumnus temminckii
22680753,Picumnus albosquamatus
22680756,Picumnus rufiventris
22680759,Picumnus fulvescens
22680762,Picumnus limae
22680765,Picumnus nebulosus
22680768,Picumnus castelnau
22680771,Picumnus subtilis
22680774,Picumnus olivaceus
22680777,Picumnus granadensis
22680781,Picumnus cinnamomeus
22680784,Verreauxia africana
22680789,Sasia abnormis
22680792,Sasia ochracea
22680795,Nesoctites micromegas
22680798,Melanerpes candidus
22680801,Melanerpes lewis
22680804,Melanerpes herminieri
22680807,Melanerpes portoricensis
22680810,Melanerpes erythrocephalus
22680813,Melanerpes formicivorus
22680816,Melanerpes pucherani
22680824,Melanerpes cruentatus
22680828,Melanerpes flavifrons
22680831,Melanerpes cactorum
22680834,Melanerpes striatus
22680837,Melanerpes radiolatus
22680840,Melanerpes chrysogenys
22680843,Melanerpes hypopolius
22680847,Melanerpes pygmaeus
22680850,Melanerpes rubricapillus
22680853,Melanerpes uropygialis
22680856,Melanerpes carolinus
22680859,Melanerpes superciliaris
22680862,Melanerpes aurifrons
22680865,Melanerpes hoffmannii
22680868,Sphyrapicus varius
22680871,Sphyrapicus nuchalis
22680874,Sphyrapicus ruber
22680877,Sphyrapicus thyroideus
22680880,Xiphidiopicus percussus
22680883,Campethera punctuligera
22680887,Campethera nubica
22680897,Campethera scriptoricauda
22680902,Campethera abingoni
22680906,Campethera mombassica
22680910,Campethera notata
22680914,Campethera maculosa
22680919,Campethera cailliautii
22680937,Campethera nivosa
22680941,Campethera caroli
22680945,Geocolaptes olivaceus
22680949,Dendropicos elachus
22680954,Dendropicos poecilolaemus
22680959,Dendropicos abyssinicus
22680963,Dendropicos fuscescens
22680967,Dendropicos lugubris
22680978,Dendropicos stierlingi
22680982,Dendropicos namaquus
22680989,Dendropicos pyrrhogaster
22680996,Dendropicos xantholophus
22681018,Dendropicos spodocephalus
22681023,Dendropicos griseocephalus
22681030,Dendropicos obsoletus
22681042,Picoides temminckii
22681046,Picoides maculatus
22681052,Picoides ramsayi
22681060,Picoides nanus
22681064,Picoides moluccensis
22681068,Picoides canicapillus
22681072,Picoides kizuki
22681076,Dryobates minor
22681076,Dryobates minor
22681079,Leiopicus auriceps
22681089,Dendrocopos atratus
22681092,Leiopicus mahrattensis
22681095,Dendropicos dorae
22681105,Dendrocopos hyperythrus
22681111,Dendrocopos darjellensis
22681114,Leiopicus medius
22681124,Dendrocopos major
22681127,Dendrocopos syriacus
22681130,Dendrocopos leucopterus
22681133,Dendrocopos assimilis
22681136,Dendrocopos himalayensis
22681139,Veniliornis lignarius
22681139,Veniliornis lignarius
22681144,Veniliornis mixtus
22681144,Veniliornis mixtus
22681149,Dryobates nuttallii
22681152,Dryobates scalaris
22681155,Dryobates pubescens
22681158,Leuconotopicus borealis
22681161,Leuconotopicus stricklandi
22681166,Leuconotopicus villosus
22681169,Leuconotopicus albolarvatus
22681181,Picoides arcticus
22681184,Veniliornis callonotus
22681187,Veniliornis dignus
22681190,Veniliornis nigriceps
22681193,Leuconotopicus fumigatus
22681199,Veniliornis passerinus
22681202,Veniliornis frontalis
22681205,Veniliornis spilogaster
22681208,Veniliornis sanguineus
22681212,Veniliornis kirkii
22681215,Veniliornis chocoensis
22681219,Veniliornis cassini
22681222,Veniliornis affinis
22681225,Veniliornis maculifrons
22681228,Piculus simplex
22681231,Piculus callopterus
22681234,Piculus litae
22681237,Piculus leucolaemus
22681240,Piculus flavigula
22681243,Piculus chrysochloros
22681246,Piculus aurulentus
22681250,Colaptes auricularis
22681269,Colaptes atricollis
22681272,Colaptes punctigula
22681290,Colaptes chrysoides
22681293,Colaptes fernandinae
22681297,Colaptes pitius
22681314,Micropternus brachyurus
22681317,Celeus loricatus
22681320,Celeus grammicus
22681324,Celeus undatus
22681327,Celeus castaneus
22681331,Celeus elegans
22681338,Celeus lugubris
22681344,Celeus flavus
22681360,Hylatomus galeatus
22681363,Hylatomus pileatus
22681373,Hylatomus schulzii
22681376,Dryocopus javensis
22681379,Dryocopus hodgei
22681382,Dryocopus martius
22681382,Dryocopus martius
22681386,Campephilus pollens
22681396,Campephilus rubricollis
22681399,Campephilus robustus
22681402,Campephilus guatemalensis
22681405,Campephilus melanoleucos
22681408,Campephilus gayaquilensis
22681411,Campephilus leucopogon
22681414,Campephilus magellanicus
22681417,Campephilus imperialis
22681425,Campephilus principalis
22681428,Chrysophlegma miniaceum
22681431,Picus chlorolophus
22681434,Picus puniceus
22681437,Chrysophlegma flavinucha
22681447,Picus viridanus
22681450,Picus vittatus
22681453,Picus xanthopygaeus
22681456,Picus squamatus
22681459,Picus awokera
22681474,Picus vaillantii
22681478,Picus rabieri
22681481,Picus erythropygius
22681493,Dinopium rafflesii
22681496,Dinopium shorii
22681522,Chrysocolaptes festivus
22681525,Gecinulus grantia
22681528,Gecinulus viridis
22681531,Dendrocopos noguchii
22681543,Blythipicus rubiginosus
22681546,Blythipicus pyrrhotis
22681549,Chrysocolaptes validus
22681559,Meiglyptes jugularis
22681562,Meiglyptes tukki
22681572,Hemicircus canente
22681575,Mulleripicus fulvus
22681585,Mulleripicus pulverulentus
22681588,Psilopogon pyrolophus
22681591,Psilopogon virens
22681594,Psilopogon lagrandieri
22681597,Psilopogon zeylanicus
22681600,Psilopogon lineatus
22681603,Psilopogon viridis
22681606,Psilopogon faiostrictus
22681609,Psilopogon corvinus
22681612,Psilopogon chrysopogon
22681616,Psilopogon rafflesii
22681619,Psilopogon mystacophanos
22681622,Psilopogon javensis
22681625,Psilopogon flavifrons
22681643,Psilopogon monticola
22681646,Psilopogon incognitus
22681649,Psilopogon henricii
22681652,Psilopogon armillaris
22681655,Psilopogon pulcherrimus
22681665,Psilopogon eximius
22681681,Psilopogon haemacephalus
22681699,Gymnobucco peli
22681703,Gymnobucco sladeni
22681724,Stactolaema anchietae
22681728,Stactolaema whytii
22681732,Cryptolybia olivacea
22681736,Pogoniulus scolopaceus
22681740,Pogoniulus coryphaea
22681747,Pogoniulus leucomystax
22681754,Pogoniulus simplex
22681761,Pogoniulus atroflavus
22681765,Pogoniulus subsulphureus
22681769,Pogoniulus bilineatus
22681774,Pogoniulus chrysoconus
22681778,Pogoniulus pusillus
22681782,Buccanodon duchaillui
22681786,Tricholaema hirsuta
22681790,Tricholaema diademata
22681794,Tricholaema frontata
22681799,Tricholaema leucomelas
22681804,Tricholaema lacrymosa
22681808,Tricholaema melanocephala
22681812,Lybius undatus
22681816,Lybius vieilloti
22681832,Lybius chaplini
22681837,Lybius rubrifacies
22681841,Lybius guifsobalito
22681845,Lybius torquatus
22681849,Pogonornis melanopterus
22681861,Pogonornis bidentatus
22681865,Pogonornis dubius
22681869,Pogonornis rolleti
22681881,Trachyphonus vaillantii
22681885,Trachyphonus margaritatus
22681889,Trachyphonus erythrocephalus
22681900,Trachyphonus usambiro
22681905,Capito aurovirens
22681908,Capito maculicoronatus
22681911,Capito squamatus
22681914,Capito hypoleucus
22681917,Capito dayi
22681920,Capito quinticolor
22681929,Capito brunneipectus
22681939,Eubucco bourcierii
22681942,Eubucco tucinkae
22681953,Semnornis frantzii
22681956,Semnornis ramphastinus
22681978,Aulacorhynchus haematopygus
22681981,Aulacorhynchus huallagae
22681984,Aulacorhynchus coeruleicinctis
22681994,Pteroglossus viridis
22682014,Pteroglossus castanotis
22682017,Pteroglossus aracari
22682028,Pteroglossus frantzii
22682038,Pteroglossus pluricinctus
22682041,Pteroglossus beauharnaesii
22682044,Pteroglossus bailloni
22682050,Andigena laminirostris
22682055,Andigena hypoglauca
22682061,Andigena cucullata
22682066,Andigena nigrirostris
22682071,Selenidera spectabilis
22682081,Selenidera nattereri
22682084,Selenidera piperivora
22682093,Selenidera maculirostris
22682096,Selenidera gouldii
22682102,Ramphastos sulfuratus
22682105,Ramphastos brevis
22682129,Ramphastos dicolorus
22682153,Ramphastos tucanus
22682159,Ramphastos cuvieri
22682164,Ramphastos toco
22682167,Galbalcyrhynchus leucotis
22682170,Galbalcyrhynchus purusianus
22682174,Brachygalba salmoni
22682177,Brachygalba goeringi
22682180,Brachygalba lugubris
22682183,Brachygalba albogularis
22682186,Jacamaralcyon tridactyla
22682196,Galbula cyanicollis
22682200,Galbula ruficauda
22682203,Galbula galbula
22682206,Galbula pastazae
22682209,Galbula tombacea
22682212,Galbula cyanescens
22682215,Galbula chalcothorax
22682218,Galbula leucogastra
22682221,Galbula dea
22682224,Jacamerops aureus
22682240,Notharchus pectoralis
22682243,Notharchus ordii
22682249,Cyphos macrodactylus
22682252,Nystactes tamatia
22682255,Nystactes noanamae
22682258,Bucco capensis
22682261,Nystalus radiatus
22682264,Nystalus chacuru
22682267,Nystalus striolatus
22682270,Nystalus maculatus
22682277,Malacoptila fusca
22682280,Malacoptila semicincta
22682286,Malacoptila fulvogularis
22682289,Malacoptila rufa
22682292,Malacoptila panamensis
22682295,Malacoptila mystacalis
22682298,Micromonacha lanceolata
22682301,Nonnula rubecula
22682304,Nonnula sclateri
22682307,Nonnula brunnea
22682310,Nonnula frontalis
22682315,Nonnula ruficapilla
22682319,Nonnula amaurocephala
22682322,Hapaloptila castanea
22682325,Monasa atra
22682328,Monasa nigrifrons
22682331,Monasa morphoeus
22682334,Monasa flavirostris
22682337,Chelidoptera tenebrosa
22682363,Lophoceros camurus
22682367,Tockus monteiri
22682379,Tockus flavirostris
22682384,Tockus leucomelas
22682388,Tockus jacksoni
22682392,Tockus deckeni
22682396,Lophoceros alboterminatus
22682400,Lophoceros bradfieldi
22682409,Lophoceros hemprichii
22682413,Lophoceros nasutus
22682417,Lophoceros pallidirostris
22682421,Ocyceros griseus
22682425,Ocyceros gingalensis
22682429,Ocyceros birostris
22682433,Anthracoceros coronatus
22682437,Anthracoceros albirostris
22682441,Anthracoceros malayanus
22682444,Anthracoceros marchei
22682447,Anthracoceros montani
22682450,Buceros rhinoceros
22682453,Buceros bicornis
22682464,Rhinoplax vigil
22682485,Anorrhinus galeritus
22682488,Penelopides manillae
22682491,Penelopides mindorensis
22682494,Penelopides panini
22682504,Rhabdotorrhinus exarhatus
22682507,Berenicornis comatus
22682510,Aceros nipalensis
22682514,Rhabdotorrhinus corrugatus
22682517,Rhabdotorrhinus waldeni
22682522,Rhabdotorrhinus leucocephalus
22682525,Rhyticeros cassidix
22682528,Rhyticeros undulatus
22682531,Rhyticeros narcondami
22682535,Rhyticeros everetti
22682541,Rhyticeros subruficollis
22682544,Rhyticeros plicatus
22682548,Bycanistes bucinator
22682570,Bycanistes brevis
22682577,Bycanistes subcylindricus
22682585,Bycanistes cylindricus
22682609,Bycanistes albotibialis
22682621,Ceratogymna atrata
22682627,Ceratogymna elata
22682632,Bucorvus abyssinicus
22682638,Bucorvus leadbeateri
22682655,Upupa epops
22682667,Phoeniculus purpureus
22682673,Phoeniculus damarensis
22682678,Phoeniculus somaliensis
22682684,Phoeniculus bollei
22682689,Rhinopomastus castaneiceps
22682698,Rhinopomastus aterrimus
22682704,Rhinopomastus cyanomelas
22682710,Rhinopomastus minor
22682715,Apaloderma narina
22682719,Apaloderma aequatoriale
22682723,Apaloderma vittatum
22682727,Pharomachrus mocinno
22682732,Pharomachrus antisianus
22682735,Pharomachrus fulgidus
22682738,Pharomachrus auriceps
22682741,Pharomachrus pavoninus
22682744,Euptilotis neoxenus
22682748,Priotelus temnurus
22682751,Temnotrogon roseigaster
22682760,Trogon massena
22682768,Trogon clathratus
22682771,Trogon comptus
22682776,Trogon bairdii
22682785,Trogon citreolus
22682788,Trogon melanocephalus
22682791,Trogon mexicanus
22682807,Trogon personatus
22682810,Trogon rufus
22682816,Trogon curucui
22682824,Apalharpactes reinwardtii
22682830,Harpactes fasciatus
22682833,Harpactes kasumba
22682836,Harpactes diardii
22682839,Harpactes ardens
22682842,Harpactes whiteheadi
22682845,Harpactes orrhophaeus
22682848,Harpactes duvaucelii
22682851,Harpactes oreskios
22682854,Harpactes erythrocephalus
22682857,Harpactes wardi
22682860,Coracias garrulus
22682865,Coracias abyssinicus
22682874,Coracias caudatus
22682883,Coracias spatulatus
22682892,Coracias naevius
22682892,Coracias naevius
22682905,Coracias temminckii
22682908,Coracias cyanogaster
22682912,Eurystomus glaucurus
22682916,Eurystomus gularis
22682920,Eurystomus orientalis
22682926,Eurystomus azureus
22682931,Brachypteracias leptosomus
22682937,Geobiastes squamiger
22682955,Atelornis pittoides
22682961,Atelornis crossleyi
22682969,Uratelornis chimaera
22682975,Leptosomus discolor
22682980,Hylomanes momotula
22682983,Aspatha gularis
22682986,Electron platyrhynchum
22682989,Electron carinatum
22682992,Eumomota superciliosa
22682995,Baryphthengus martii
22682998,Baryphthengus ruficapillus
22683001,Momotus mexicanus
22683009,Todus multicolor
22683012,Todus angustirostris
22683015,Todus mexicanus
22683018,Todus todus
22683021,Todus subulatus
22683024,Alcedo hercules
22683027,Alcedo atthis
22683033,Alcedo semitorquata
22683037,Alcedo quadribrachys
22683042,Alcedo meninting
22683045,Ceyx azureus
22683051,Ceyx websteri
22683093,Corythornis vintsioides
22683099,Corythornis thomensis
22683106,Corythornis nais
22683112,Corythornis leucogaster
