"","species","lat.rng"
"232","Blarina carolinensis",10.24999959
"233","Blarina hylophaga",4.1666665
"234","Bleda canicapillus",4.41666649000001
"235","Bleda syndactylus",9.41666629000001
"236","Boiga cyanea",14.74999941
"237","Boiga irregularis",0.249999990000001
"238","Boiga multomaculata",11.6666662
"239","Boiga ochracea",3.99999984
"240","Boissonneaua matthewsii",7.08333305000001
"241","Bombycilla cedrorum",31.33333208
"242","Bombycilla garrulus",24.91666567
"243","Bonasa umbellus",13.3333328
"244","Botaurus lentiginosus",15.74999937
"245","Brachyphylla cavernarum",5.24999979
"246","Brachypteryx montana",23.08333241
"247","Brachyramphus marmoratus",16.99999932
"248","Bradornis pallidus",32.83333202
"249","Branta bernicla",16.16666602
"250","Branta canadensis",20.41666585
"251","Branta hutchinsii",29.66666548
"252","Brotogeris cyanoptera",3.33333319999999
"253","Bubo scandiacus",33.16666534
"254","Bubo virginianus",73.24999707
"255","Bucephala albeola",14.91666607
"256","Bucephala clangula",18.58333259
"257","Bufo americanus",6.91666639
"258","Bufo boreas",8.58333299
"259","Burhinus capensis",39.08333177
"260","Buteo jamaicensis",17.41666597
"261","Buteo lagopus",9.83333294000001
"262","Buteo lineatus",20.08333253
"263","Buteo magnirostris",36.49999854
"264","Buteo platypterus",32.83333202
"265","Buteo regalis",10.91666623
"266","Buteo swainsoni",6.08333309
"267","Buthraupis montana",8.91666631000001
"268","Butorides striata",73.66666372
"269","Cacicus cela",16.49999934
"270","Cacicus chrysonotus",8.41666633
"271","Cacicus chrysopterus",3.99999984
"272","Cacicus haemorrhous",34.08333197
"273","Cacicus solitarius",27.08333225
"274","Cacomantis castaneiventris",4.99999979999999
"275","Cacomantis variolosus",19.9999992
"276","Calamospiza melanocorys",19.49999922
"277","Calandrella cheleensis",3.74999985
"278","Calcarius lapponicus",35.16666526
"279","Calcarius ornatus",16.58333267
"280","Calidris acuminata",9.83333294000001
"281","Calidris alba",114.41666209
"282","Calidris alpina",41.91666499
"283","Calidris bairdii",97.91666275
"284","Calidris canutus",97.74999609
"285","Calidris fuscicollis",92.24999631
"286","Calidris mauri",56.83333106
"287","Calidris melanotos",108.58332899
"288","Calidris minuta",106.41666241
"289","Calidris minutilla",56.16666442
"290","Calidris pusilla",36.58333187
"291","Callipepla californica",91.41666301
"292","Callipepla gambelii",4.9999998
"293","Callipepla squamata",11.49999954
"294","Callisaurus draconoides",12.58333283
"295","Callospermophilus lateralis",15.41666605
"296","Calomys callosus",43.24999827
"297","Calypte anna",19.83333254
"298","Calypte costae",2.41666657
"299","Camaroptera brachyura",32.83333202
"300","Camaroptera brevicaudata",27.24999891
"301","Camaroptera chloronota",9.33333296000001
"302","Campephaga phoenicea",25.16666566
"303","Campephilus rubricollis",19.08333257
"304","Campethera abingoni",26.99999892
"305","Campethera cailliautii",17.33333264
"306","Campethera caroli",7.66666636000001
"307","Campethera nivosa",9.41666629000001
"308","Camptostoma obsoletum",42.74999829
"309","Campylopterus hemileucurus",8.83333298
"310","Campylopterus largipennis",19.08333257
"311","Campylopterus rufus",2.16666658
"312","Campylorhamphus trochilirostris",17.74999929
"313","Campylorhynchus brunneicapillus",9.91666627
"314","Campylorhynchus fasciatus",5.49999978000001
"315","Campylorhynchus rufinucha",2.83333322
"316","Canis latrans",34.1666653
"317","Canis lupus",98.08332941
"318","Cantorchilus leucotis",0.91666663000001
"319","Cantorchilus modestus",6.74999973
"320","Capito auratus",5.41666645
"321","Capito niger",11.41666621
"322","Caprimulgus climacurus",8.08333301
