"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","sd.tavg","sd.tmin","sd.tmax","sd.prec","sd.pet","sd.npp","sd.npp.sd","rng.tavg","rng.tmin","rng.tmax","rng.prec","rng.pet","rng.npp","rng.npp.sd"
"Dendrelaphis cyanochloris","reptile","Squamata","Colubridae",6,"npp.sd",-0.513146938915252,-0.566992235863609,0.333333333333333,1.9935484498517,1.65438631094405,2.33434308475515,25.8685636805761,102.482675301032,0.461232615579274,0.174713858128756,5.1295013427734,4.246166229248,6.0137500762939,73.750015258789,268.14001464844,1.16493058204651,0.45579481124877
"Dendrelaphis proarchos","reptile","Squamata","Colubridae",9,"npp.sd",-0.0733295168162446,-0.0734613787755235,0.166666666666667,2.23880679679802,2.41966084513077,2.12317823305655,86.9625992217645,102.67008472981,0.944015467375521,0.312064055533508,6.8796672821045,7.5237493515015,6.880666732788,255.583335876465,259.40002441406,2.86310744285583,0.860904693603512
"Dendrelaphis subocularis","reptile","Squamata","Colubridae",5,"npp.sd",0.4,0.423648930193602,0.5,0.563943100098295,0.659247660814231,0.605266890706986,38.6592768560088,20.6851374683877,0.295260432377722,0.095549920906341,1.4498329162598,1.7427501678467,1.696834564209,85.8333358764652,55.15002441406,0.7021610736847,0.250501692295072
"Diadophis punctatus","reptile","Squamata","Colubridae",20,"npp.sd",0.0554601712285467,0.0555171384288831,0.0588235294117647,4.28204747875189,4.27298651401565,4.54445645959402,22.3539527145723,223.495298305672,0.604978497686387,0.488777733471677,16.6001672744751,18.3271666765213,16.9487495422364,87.9166679382324,986.250061035154,2.47044610977173,1.8591673374176
"Dinodon septentrionale","reptile","Squamata","Colubridae",7,"npp.sd",0.163345960911233,0.164822465249853,0.25,3.7554851270341,3.65645485736995,3.88194731325765,51.5343450152394,162.059336905615,1.15777139210372,0.286991990889709,12.9355001449585,12.4810833930969,13.3913326263428,162.25,523.76000976562,3.27990126609803,0.911856710910797
"Dipsosaurus dorsalis","reptile","Squamata","Iguanidae",9,"npp.sd",-0.741765333237864,-0.954392852304035,0.166666666666667,2.09760341545175,2.31911711891734,1.91779392748695,4.60445473122859,69.5829151514274,0.050339651210289,0.0543333319522986,6.4535007476807,7.05541658401485,6.1423320770263,11.75,235.61999511719,0.16504643112421,0.171763122081757
"Elaphe taeniura","reptile","Squamata","Colubridae",6,"npp.sd",0.163993841535355,0.165488178929064,0.333333333333333,3.42223960813219,3.68136027112066,3.1669852603615,70.7965346736925,65.7490007639369,1.17058275615995,0.246324274122038,8.0969161987304,8.6957507133484,7.4986667633057,151.583343505859,157.52001953126,2.93891322612763,0.666371166706085
"Elgaria coerulea","reptile","Squamata","Anguidae",7,"npp.sd",-0.574602523864693,-0.654367091891314,0.25,3.8885408488427,4.50035779941763,3.37126968836089,37.1894470547072,104.144812668317,1.25509371820384,0.541973347040419,10.4172344207764,11.8059191703796,9.14150047302244,105.41667175293,311.180053710935,3.35533857345581,1.61867240071297
"Elgaria multicarinata","reptile","Squamata","Anguidae",23,"npp.sd",0.0268637987943789,0.0268702638032968,0.05,1.62576855524659,1.66319258718124,1.85289279582623,18.093355136905,112.64505323201,0.818773735417893,0.326176321195771,6.97883319854737,7.22393894195557,7.7378339767456,84.4999980926512,457.360046386714,3.04116731882095,1.23864901065826
"Eumeces skiltonianus","reptile","Squamata","Scincidae",9,"npp.sd",0.219426862868128,0.223053900879095,0.166666666666667,2.83926670645245,2.95481720150315,2.91777206330366,20.9982000881161,114.883199396058,0.943672751036147,0.336444042774639,9.52691602706907,9.43141685426235,9.6164989471435,67.6666679382326,347.600036621096,3.26475566625595,1.16858327388763
"Gambelia wislizenii","reptile","Squamata","Crotaphytidae",8,"npp.sd",0.0852883789573634,0.0854960851883806,0.2,2.7222837441444,2.97534284768688,2.66293476780116,9.31177763170636,135.262519901191,0.092633557326849,0.0208909837721767,9.2001667022705,9.34600019454959,9.0532512664795,28.6666669845581,414.71997070313,0.229062274098397,0.054938167333603
"Gerarda prevostiana","reptile","Squamata","Homalopsidae",6,"npp.sd",0.657142857142857,0.78776818037921,0.333333333333333,0.663399918953213,0.993325438588267,0.798124354763475,99.5647261894028,109.43789701947,0.935665214050538,0.181082913284588,1.8753852844238,2.3968811035156,1.7849330902099,241.666664123535,284.58996582031,2.38253462314605,0.505765080451965
"Hemidactylus mabouia","reptile","Squamata","Gekkonidae",16,"npp.sd",-0.125718922450131,-0.126387614867474,0.0769230769230769,1.51048129014104,1.85775793720412,1.34333056172151,34.8674784582048,86.1860193199484,0.896841377260437,0.258669843931779,5.0245838165283,5.7365837097168,4.9243316650391,129.500007629395,323.75,2.63426852226258,0.869136959314346
"Hypsiglena torquata","reptile","Squamata","Dipsadidae",8,"npp.sd",-0.230611307459002,-0.234835014545662,0.2,5.65616880052049,5.86460060018824,5.65393757907135,14.4078518209417,253.192560714141,0.472030787056821,0.331267459242325,15.1407499313355,15.7463332414627,15.0167493820191,42.5000009536743,688.879943847654,1.26642175763845,0.760630905628204
"Lampropeltis getula","reptile","Squamata","Colubridae",15,"npp.sd",-0.160714285714286,-0.162119834092789,0.0833333333333333,1.8730078216526,1.77017663630155,2.12030789512838,22.0438479196037,130.442331584477,0.636971239036945,0.367714491870203,7.9370832443238,7.23150062561033,8.6388320922851,73.6666660308838,522.93994140625,2.5904511809349,1.35635113716125
"Lamprophis lineatus","reptile","Squamata","Lamprophiidae",7,"npp.sd",0.11492229240239,0.115432271102291,0.25,1.71676744347315,1.63371741899518,1.80912192687101,36.1631720699499,69.6877171274562,0.728469168501388,0.148477380945039,4.0585269927979,3.9944515228271,4.2186641693115,86.5,154.97998046875,1.89734292030334,0.399204373359677
"Lycodon aulicus","reptile","Squamata","Colubridae",30,"npp.sd",0.0147124225936813,0.014713484259234,0.037037037037037,1.57363934396196,1.56094908723235,1.72222235962884,99.5214500469436,97.012598629933,0.885044374331007,0.376295013967138,6.3651657104493,6.6815509796142,7.5617485046387,330.583320617676,365.96008300782,2.94255805015564,1.27858239412308
"Lycodon zawi","reptile","Squamata","Colubridae",5,"npp.sd",0.6,0.693147180559945,0.5,1.73629525164746,1.73131836503066,1.76032004139265,131.179922189031,46.696989172469,0.31518148488154,0.301096967599732,4.1316528320313,3.8791236877441,4.3850212097168,307.333320617676,110.4599609375,0.67872595787049,0.629376769065857
"Masticophis flagellum","reptile","Squamata","Colubridae",7,"npp.sd",0.321428571428571,0.333239466738892,0.25,2.41495655188261,3.48126308774235,1.4123225414475,42.6498291264024,43.2736070816777,0.824214206084892,0.206425460875543,5.9203329086304,8.72558307647703,3.6832504272461,97.416664123535,112.86999511719,2.25470015406609,0.639103591442108
"Masticophis lateralis","reptile","Squamata","Colubridae",11,"npp.sd",0.150856201565833,0.152016460788571,0.125,2.18857350483231,2.38946040575635,2.3942702356679,28.3495410245982,121.278324668561,0.538459286900749,0.34537832809504,7.4218330383301,7.45125007629394,7.3929996490478,85.2500019073488,395.2900390625,1.8317482471466,0.960788607597346
"Masticophis taeniatus","reptile","Squamata","Colubridae",5,"npp.sd",0.2,0.202732554054082,0.5,2.64454077533211,2.63334279635527,2.75532642725982,23.0879207432647,141.563624685642,0.546202145347748,0.373993754251502,6.19699954986569,6.18450009822846,6.6040000915528,56.9166669845581,338.98010253906,1.30919991433621,0.936890766024588
"Naja kaouthia","reptile","Squamata","Elapidae",5,"npp.sd",-0.476223595842328,-0.518088798876774,0.5,2.63845508640027,2.71005485009571,2.59806052119266,94.7461746934397,94.1078846620853,0.807815008475448,0.263244384112317,6.099416732788,6.3854389190674,6.0729999542236,225.499992370606,256.92004394532,1.76911389827728,0.562568724155425
"Nerodia sipedon","reptile","Squamata","Colubridae",7,"npp.sd",0.759725316036603,0.99556511001088,0.25,2.26470917339239,2.28138576255198,2.49006661612268,2.17967611035328,117.134218611255,0.222324735004719,0.135524267964787,7.3528642654419,7.82765316963197,6.8762540817261,6.9166641235352,305.210021972651,0.58856415748596,0.38239002227783
"Oligodon albocinctus","reptile","Squamata","Colubridae",5,"npp.sd",0.9,1.47221948958322,0.5,4.01810990968134,3.85402463393636,4.18289425092707,68.388562784142,109.56014126824,1.44926982193269,0.511062166609428,7.5403194427491,7.4205732345581,7.7897491455078,144.000015258789,220.72998046874,3.10445988178253,1.06928038597107
"Oligodon cyclurus","reptile","Squamata","Colubridae",9,"npp.sd",-0.201807540714749,-0.204616120488419,0.166666666666667,1.84104066139675,2.10638945186728,1.63326407393311,96.9091027448122,64.1884949646443,0.746495438159854,0.314758981882165,4.5928325653077,5.2491664886475,4.5793342590332,284.333320617676,212.09997558594,1.77086400985718,0.790198802947999
"Pantherophis obsoletus","reptile","Squamata","Colubridae",21,"npp.sd",0.146560081418412,0.147623179767126,0.0555555555555556,4.22617813549713,4.57911458411529,3.93477399769762,105.563293078764,152.508186231118,0.757080770276592,0.403356578203188,13.9655838012695,14.9499998092652,13.0558319091797,316.666679382324,530.71997070312,2.70169281959533,1.18739771842956
"Pareas carinatus","reptile","Squamata","Pareatidae",5,"npp.sd",-0.708051706882201,-0.883265969508083,0.5,0.545570338418027,0.891762645505775,0.650998234397425,35.3619369417067,39.5220087500633,0.602343538881038,0.304029522091287,1.3313331604004,2.1681671142578,1.6404991149902,94.25,97.25,1.41434907913208,0.61625707149505
"Pituophis melanoleucus","reptile","Squamata","Colubridae",29,"npp.sd",0.107543599570732,0.107961103650866,0.0384615384615385,2.85274352790724,2.69230465540328,3.30175919586645,26.5485325023832,171.33259621346,0.858273267440661,0.437869625203334,13.944333076477,12.4358330965042,15.4508333206177,97.2499971389769,849.669982910161,3.73959177732468,1.66835740208625
"Protobothrops jerdonii","reptile","Squamata","Viperidae",7,"npp.sd",0.321428571428571,0.333239466738892,0.25,2.81865173537927,2.82891241412123,2.81398900304359,34.1245464468774,77.60637430048,0.676542324413178,0.205654960274725,8.92983341217038,9.05891680717466,8.802749633789,105.33332824707,261.329956054692,1.96304321289062,0.586966872215269
"Protobothrops mucrosquamatus","reptile","Squamata","Viperidae",5,"npp.sd",-0.307793505625546,-0.318106167928833,0.5,4.64103209424,4.52905621452175,4.7538671895202,22.8014838537073,158.235036398161,0.535840424994996,0.288849849265127,9.1327505111694,9.10200119018558,9.1634998321533,61.16667175293,308.03002929687,1.41780960559844,0.694379985332492
"Psammodynastes pulverulentus","reptile","Squamata","Lamprophiidae",21,"npp.sd",0.321575631791899,0.333403480115974,0.0555555555555556,3.33758371491291,3.26066724555506,3.44834152311033,61.4035210900269,140.859863324338,0.817008479741347,0.299918077885362,11.7503032684326,11.8109159469605,12.2775001525879,200.75,576.05993652344,3.43596041202545,1.14200949668884
"Psammophis condanarus","reptile","Squamata","Psammophiidae",6,"npp.sd",0.240067665780286,0.244845915446348,0.333333333333333,0.87205964500585,1.06916078176669,1.14425927925598,97.5996008336596,133.243259280363,0.649495129507485,0.238322631400071,2.3404998779297,3.0701656341553,2.5869159698487,207.583343505859,303.28991699219,1.82355058193207,0.561385899782176
"Pseudoxenodon macrops","reptile","Squamata","Pseudoxenodontidae",5,"npp.sd",0.810166847773745,1.12751438045763,0.5,4.50213203285923,4.79639259643685,4.21623658777865,54.1795343123469,119.389103155055,0.947621048869415,0.188794445576021,11.0877504348755,11.6676669120789,10.5135002136231,120.666664123535,252.44995117187,2.61107063293457,0.50349754095078
"Ptyas korros","reptile","Squamata","Colubridae",6,"npp.sd",-0.798974621957983,-1.09577048404856,0.333333333333333,4.17504331309584,4.03462072795507,4.38155600084491,106.067111474661,162.874387872624,1.39297282826848,0.438543591988687,8.4903335571289,8.4162492752076,9.7317504882812,294.166656494141,445.54992675782,3.18664753437042,0.904742658138275
"Ptyas mucosus","reptile","Squamata","Colubridae",5,"npp.sd",0.411112603785436,0.436949382719905,0.5,1.30975018910932,0.857868988522625,1.77134076330997,46.6316332998697,77.1837278011741,0.48798717657382,0.178221407606876,3.1406650543213,2.0708332061767,4.22850036621101,110.583335876465,205.28002929688,1.20745879411698,0.425020188093185
"Ramphotyphlops braminus","reptile","Squamata","Typhlopidae",9,"npp.sd",0.287583052739214,0.295929398669394,0.166666666666667,2.15658163023927,2.06381364980274,2.29054698668854,72.9192078471937,83.8633959908158,0.82713838603817,0.232676660263285,6.2719173431396,6.4606657028198,6.0868339538574,241,251.70007324219,2.73456239700317,0.759826064109805
"Rhabdophis himalayana","reptile","Squamata","Natricidae",7,"npp.sd",0.583035248960066,0.667048819238164,0.25,4.60453463961746,4.45978108566363,4.75353917543333,46.6006248150274,185.538419613568,0.585778806910426,0.0835605291862191,10.7600002288819,10.5474996566773,11.1288318634034,120.083343505859,476.83996582031,1.55282878875732,0.19174814224243
